Gene,Non-unique Gene name,Annotation,USDA1021,WSM1022
rbsC_19,rbsC_19,Ribose import permease protein RbsC,USDA1021_06259,WSM1022_05821
yiaO_1,yiaO_1,23-diketo-L-gulonate-binding periplasmic protein YiaO,USDA1021_06025,WSM1022_05636
paaA,paaA,12-phenylacetyl-CoA epoxidase subunit A,USDA1021_05390,WSM1022_05356
ddpC_3,ddpC_3,putative DD-dipeptide transport system permease protein DdpC,USDA1021_04841,WSM1022_04719
oppF_1,oppF_1,Oligopeptide transport ATP-binding protein OppF,USDA1021_02638,WSM1022_02955
group_797,,hypothetical protein,USDA1021_01466,WSM1022_00820
potA_1,potA_1,Spermidine/putrescine import ATP-binding protein PotA,USDA1021_00014,WSM1022_02222
group_795,,hypothetical protein,USDA1021_06300,WSM1022_05859
group_794,,hypothetical protein,USDA1021_05469,WSM1022_05428
cytR_3,cytR_3,HTH-type transcriptional repressor CytR,USDA1021_05361,WSM1022_05326
group_793,,putative 4-hydroxyproline 2-epimerase,USDA1021_05110,WSM1022_05076
lsrB_1,lsrB_1,Autoinducer 2-binding protein LsrB,USDA1021_05067,WSM1022_05034
btuD_14,btuD_14,Vitamin B12 import ATP-binding protein BtuD,USDA1021_04859,WSM1022_04674
group_792,,hypothetical protein,USDA1021_04325,WSM1022_04194
group_791,,hypothetical protein,USDA1021_04224,WSM1022_04124
ppsC,ppsC,Phthiocerol synthesis polyketide synthase type I PpsC,USDA1021_03996,WSM1022_03912
group_789,malK_3,Maltose/maltodextrin import ATP-binding protein MalK,USDA1021_03187,WSM1022_02395
cpo_2,cpo_2,Non-heme chloroperoxidase,USDA1021_03150,WSM1022_02431
gpsA,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],USDA1021_02465,WSM1022_03073
afr_1,afr_1,15-anhydro-D-fructose reductase,USDA1021_02290,WSM1022_03257
group_788,,hypothetical protein,USDA1021_01339,WSM1022_00865
cdhR_3,cdhR_3,HTH-type transcriptional regulator CdhR,USDA1021_00696,WSM1022_01551
hisC_1,hisC_1,Histidinol-phosphate aminotransferase,USDA1021_00433,WSM1022_01802
group_787,,hypothetical protein,USDA1021_00088,WSM1022_02150
deoC_2,deoC_2,Deoxyribose-phosphate aldolase,USDA1021_06500,WSM1022_06057
group_786,,hypothetical protein,USDA1021_06431,WSM1022_05989
rbsC_21,rbsC_21,Ribose import permease protein RbsC,USDA1021_06387,WSM1022_05945
group_785,,hypothetical protein,USDA1021_06225,WSM1022_05785
nadE_2,nadE_2,NH(3)-dependent NAD(+) synthetase,USDA1021_05933,WSM1022_05546
dppB_6,dppB_6,Dipeptide transport system permease protein DppB,USDA1021_05702,WSM1022_00485
lsrD_1,lsrD_1,Autoinducer 2 import system permease protein LsrD,USDA1021_05590,WSM1022_00375
noc_2,noc_2,Nucleoid occlusion protein,USDA1021_05329,WSM1022_05295
degA_1,degA_1,HTH-type transcriptional regulator DegA,USDA1021_05148,WSM1022_05114
group_784,,Solute-binding protein,USDA1021_04945,WSM1022_03692
group_783,,hypothetical protein,USDA1021_04892,WSM1022_03745
yjmC_2,yjmC_2,putative oxidoreductase YjmC,USDA1021_04885,WSM1022_03752
arcB_2,arcB_2,Ornithine carbamoyltransferase catabolic,USDA1021_04706,WSM1022_04616
apbE,apbE,FAD:protein FMN transferase,USDA1021_04512,WSM1022_04384
rbsC_5,rbsC_5,Ribose import permease protein RbsC,USDA1021_03092,WSM1022_02482
ddpF,ddpF,putative DD-dipeptide transport ATP-binding protein DdpF,USDA1021_03021,WSM1022_02560
group_782,,Glycerate dehydrogenase,USDA1021_02081,WSM1022_03470
group_781,,hypothetical protein,USDA1021_02069,WSM1022_03482
cydB,cydB,Cytochrome bd-I ubiquinol oxidase subunit 2,USDA1021_01701,WSM1022_00318
group_780,,hypothetical protein,USDA1021_01315,WSM1022_00887
cdhR_2,cdhR_2,HTH-type transcriptional regulator CdhR,USDA1021_00376,WSM1022_01857
yqjG,yqjG,Glutathionyl-hydroquinone reductase YqjG,USDA1021_03257,WSM1022_02324
rbsC_2,rbsC_2,Ribose import permease protein RbsC,USDA1021_02397,WSM1022_03150
group_779,,putative aminopeptidase,USDA1021_00620,WSM1022_01626
lacF_6,lacF_6,Lactose transport system permease protein LacF,USDA1021_05657,WSM1022_00437
rbsC_16,rbsC_16,Ribose import permease protein RbsC,USDA1021_05514,WSM1022_05474
group_777,,hypothetical protein,USDA1021_04650,WSM1022_04512
yhdW_2,yhdW_2,Putative amino-acid ABC transporter-binding protein YhdW,USDA1021_02913,WSM1022_02664
cgtA,cgtA,GTPase Obg/CgtA,USDA1021_02438,WSM1022_03098
group_775,,hypothetical protein,USDA1021_02107,WSM1022_03444
malK_1,malK_1,Maltose/maltodextrin import ATP-binding protein MalK,USDA1021_02061,WSM1022_03490
group_774,,hypothetical protein,USDA1021_01754,WSM1022_00266
kdsD_1,kdsD_1,Arabinose 5-phosphate isomerase KdsD,USDA1021_01687,WSM1022_00332
group_773,,hypothetical protein,USDA1021_01550,WSM1022_00737
rpoA,rpoA,DNA-directed RNA polymerase subunit alpha,USDA1021_01028,WSM1022_01167
siaP_1,siaP_1,Sialic acid-binding periplasmic protein SiaP,USDA1021_00687,WSM1022_01560
gsiC_16,gsiC_16,Glutathione transport system permease protein GsiC,USDA1021_05384,WSM1022_05349
group_770,,hypothetical protein,USDA1021_04259,WSM1022_04144
group_769,,hypothetical protein,USDA1021_03262,WSM1022_02319
bkdA2,bkdA2,2-oxoisovalerate dehydrogenase subunit beta,USDA1021_02671,WSM1022_02922
frlB,frlB,Fructosamine deglycase FrlB,USDA1021_02651,WSM1022_02942
oppD_1,oppD_1,Oligopeptide transport ATP-binding protein OppD,USDA1021_02637,WSM1022_02956
group_768,,hypothetical protein,USDA1021_02398,WSM1022_03149
group_767,,Zinc-type alcohol dehydrogenase-like protein,USDA1021_01464,WSM1022_00822
hemB,hemB,Delta-aminolevulinic acid dehydratase,USDA1021_01212,WSM1022_00992
trpD,trpD,Anthranilate phosphoribosyltransferase,USDA1021_00722,WSM1022_01469
yitJ,yitJ,Bifunctional homocysteine S-methyltransferase/510-methylenetetrahydrofolate reductase,USDA1021_00405,WSM1022_01828
group_766,,hypothetical protein,USDA1021_00341,WSM1022_01905
ispB,ispB,Octaprenyl diphosphate synthase,USDA1021_05843,WSM1022_00602
group_764,,putative protein,USDA1021_05338,WSM1022_05304
hcaB_3,hcaB_3,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,USDA1021_05297,WSM1022_05263
group_763,,hypothetical protein,USDA1021_02953,WSM1022_02626
group_762,,hypothetical protein,USDA1021_02666,WSM1022_02927
galM,galM,Aldose 1-epimerase,USDA1021_02415,WSM1022_03120
lgoD_1,lgoD_1,L-galactonate-5-dehydrogenase,USDA1021_02233,WSM1022_03313
group_761,,hypothetical protein,USDA1021_02137,WSM1022_03414
rsmC,rsmC,Ribosomal RNA small subunit methyltransferase C,USDA1021_02009,WSM1022_00011
cobU,cobU,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,USDA1021_00494,WSM1022_01745
afr_2,afr_2,15-anhydro-D-fructose reductase,USDA1021_06375,WSM1022_05933
tauA,tauA,Taurine-binding periplasmic protein,USDA1021_06345,WSM1022_05903
gatD,gatD,Galactitol 1-phosphate 5-dehydrogenase,USDA1021_06171,WSM1022_05731
purR_2,purR_2,HTH-type transcriptional repressor PurR,USDA1021_05908,WSM1022_05519
lsrC_1,lsrC_1,Autoinducer 2 import system permease protein LsrC,USDA1021_04911,WSM1022_03726
hemH,hemH,Ferrochelatase,USDA1021_02802,WSM1022_02781
pld1_1,pld1_1,Pyridoxal 4-dehydrogenase,USDA1021_02237,WSM1022_03309
glk,glk,Glucokinase,USDA1021_02093,WSM1022_03458
rgtE,rgtE,Dodecaprenyl-phosphate galacturonate synthase,USDA1021_01460,WSM1022_00826
ilvC,ilvC,Ketol-acid reductoisomerase (NADP(+)),USDA1021_00216,WSM1022_02024
group_756,,putative protein,USDA1021_06330,WSM1022_05888
group_755,,hypothetical protein,USDA1021_05357,WSM1022_05322
nodD2_5,nodD2_5,Nodulation protein D 2,USDA1021_04626,WSM1022_04488
adh_1,adh_1,Alcohol dehydrogenase,USDA1021_03180,WSM1022_02402
group_752,,hypothetical protein,USDA1021_02698,WSM1022_02896
glmS,glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],USDA1021_02053,WSM1022_03498
mshA_2,mshA_2,D-inositol-3-phosphate glycosyltransferase,USDA1021_00827,WSM1022_01368
group_751,,hypothetical protein,USDA1021_00532,WSM1022_01706
znuA,znuA,High-affinity zinc uptake system protein ZnuA,USDA1021_00463,WSM1022_01774
COQ5_1,COQ5_1,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial,USDA1021_00080,WSM1022_02158
sbp_2,sbp_2,Sulfate-binding protein,USDA1021_06589,WSM1022_06145
group_750,,hypothetical protein,USDA1021_06579,WSM1022_06135
ytfT,ytfT,Inner membrane ABC transporter permease protein YtfT,USDA1021_06283,WSM1022_05842
rbsC_17,rbsC_17,Ribose import permease protein RbsC,USDA1021_05520,WSM1022_05480
cytR_4,cytR_4,HTH-type transcriptional repressor CytR,USDA1021_05516,WSM1022_05476
iolG_12,iolG_12,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,USDA1021_05131,WSM1022_05097
sbp_1,sbp_1,Sulfate-binding protein,USDA1021_04834,WSM1022_04711
group_748,,hypothetical protein,USDA1021_02838,WSM1022_02745
cytR_1,cytR_1,HTH-type transcriptional repressor CytR,USDA1021_02738,WSM1022_02856
frcB,frcB,Fructose import binding protein FrcB,USDA1021_01771,WSM1022_00249
group_747,,UDP-glucose 4-epimerase,USDA1021_01334,WSM1022_00870
yhdW_1,yhdW_1,Putative amino-acid ABC transporter-binding protein YhdW,USDA1021_00923,WSM1022_01269
rsmH,rsmH,Ribosomal RNA small subunit methyltransferase H,USDA1021_00097,WSM1022_02141
degA_3,degA_3,HTH-type transcriptional regulator DegA,USDA1021_06773,WSM1022_06344
btuD_17,btuD_17,Vitamin B12 import ATP-binding protein BtuD,USDA1021_06524,WSM1022_06081
apsD_1,apsD_1,D-apiose dehydrogenase,USDA1021_06273,WSM1022_05834
group_745,,hypothetical protein,USDA1021_06241,WSM1022_05802
group_744,,Trans-3-hydroxy-L-proline dehydratase,USDA1021_05108,WSM1022_05074
group_741,,hypothetical protein,USDA1021_03033,WSM1022_02548
ompA,ompA,Outer membrane protein A,USDA1021_02829,WSM1022_02754
thiB,thiB,Thiamine-binding periplasmic protein,USDA1021_02341,WSM1022_03208
galE_1,galE_1,UDP-glucose 4-epimerase,USDA1021_01703,WSM1022_00316
pdxA,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,USDA1021_01267,WSM1022_00936
prfB,prfB,Peptide chain release factor RF2,USDA1021_01082,WSM1022_01114
dusB,dusB,tRNA-dihydrouridine synthase B,USDA1021_00946,WSM1022_01247
gpr,gpr,L-glyceraldehyde 3-phosphate reductase,USDA1021_00455,WSM1022_01780
group_740,,2-haloacrylate reductase,USDA1021_00439,WSM1022_01796
group_738,,hypothetical protein,USDA1021_06162,WSM1022_05723
lsrB_3,lsrB_3,Autoinducer 2-binding protein LsrB,USDA1021_06670,WSM1022_06278
dtnK,dtnK,D-threonate kinase,USDA1021_05223,WSM1022_05190
rbsC_12,rbsC_12,Ribose import permease protein RbsC,USDA1021_05065,WSM1022_05032
group_736,,hypothetical protein,USDA1021_04806,WSM1022_04664
rluD,rluD,Ribosomal large subunit pseudouridine synthase D,USDA1021_02882,WSM1022_02701
group_733,,hypothetical protein,USDA1021_02263,WSM1022_03283
hemE,hemE,Uroporphyrinogen decarboxylase,USDA1021_02255,WSM1022_03291
mshA_3,mshA_3,D-inositol-3-phosphate glycosyltransferase,USDA1021_00828,WSM1022_01367
dnaX,dnaX,DNA polymerase III subunit tau,USDA1021_00789,WSM1022_01402
ccpA_5,ccpA_5,Catabolite control protein A,USDA1021_06223,WSM1022_05783
glnII,glnII,Glutamine synthetase,USDA1021_05503,WSM1022_05462
tdh_2,tdh_2,L-threonine 3-dehydrogenase,USDA1021_03312,WSM1022_02269
group_731,,hypothetical protein,USDA1021_03090,WSM1022_02484
ssuA,ssuA,Putative aliphatic sulfonates-binding protein,USDA1021_03048,WSM1022_02532
group_730,,hypothetical protein,USDA1021_02909,WSM1022_02668
yajO_3,yajO_3,1-deoxyxylulose-5-phosphate synthase YajO,USDA1021_02766,WSM1022_02828
group_729,,hypothetical protein,USDA1021_02727,WSM1022_02867
asd2_1,asd2_1,Aspartate-semialdehyde dehydrogenase 2,USDA1021_02280,WSM1022_03266
sphX,sphX,Protein SphX,USDA1021_01750,WSM1022_00270
nagZ,nagZ,Beta-hexosaminidase,USDA1021_00876,WSM1022_01317
group_728,,hypothetical protein,USDA1021_00411,WSM1022_01823
xylF,xylF,D-xylose-binding periplasmic protein,USDA1021_06122,WSM1022_05681
fliG,fliG,Flagellar motor switch protein FliG,USDA1021_05608,WSM1022_00393
group_726,,Delta(1)-pyrroline-2-carboxylate reductase,USDA1021_05117,WSM1022_05083
group_725,,Beta-peptidyl aminopeptidase BapA,USDA1021_04982,WSM1022_03653
yfhA_1,yfhA_1,putative siderophore transport system permease protein YfhA,USDA1021_04214,WSM1022_04113
cysA_1,cysA_1,Sulfate/thiosulfate import ATP-binding protein CysA,USDA1021_03128,WSM1022_02450
cpoB,cpoB,Cell division coordinator CpoB,USDA1021_02870,WSM1022_02715
group_723,,hypothetical protein,USDA1021_02709,WSM1022_02885
group_721,,hypothetical protein,USDA1021_00298,WSM1022_01944
group_720,,Formate dehydrogenase mitochondrial,USDA1021_00045,WSM1022_02191
spuD_2,spuD_2,Putrescine-binding periplasmic protein SpuD,USDA1021_05859,WSM1022_00616
lpxK,lpxK,Tetraacyldisaccharide 4'-kinase,USDA1021_05811,WSM1022_00569
strE_1,strE_1,dTDP-glucose 46-dehydratase,USDA1021_05139,WSM1022_05105
tgnB_2,tgnB_2,Flavin-dependent trigonelline monooxygenase oxygenase component,USDA1021_04653,WSM1022_04515
ruvB,ruvB,Holliday junction ATP-dependent DNA helicase RuvB,USDA1021_02858,WSM1022_02727
group_718,,hypothetical protein,USDA1021_02149,WSM1022_03402
adhT_1,adhT_1,Alcohol dehydrogenase,USDA1021_01535,WSM1022_00752
rlpA_1,rlpA_1,Endolytic peptidoglycan transglycosylase RlpA,USDA1021_00786,WSM1022_01405
ftsZ_2,ftsZ_2,Cell division protein FtsZ,USDA1021_00234,WSM1022_02006
group_717,,hypothetical protein,USDA1021_05641,WSM1022_00422
fbaA,fbaA,Fructose-bisphosphate aldolase class 2,USDA1021_06443,WSM1022_06001
fgd,fgd,F420-dependent glucose-6-phosphate dehydrogenase,USDA1021_06188,WSM1022_05748
group_715,,hypothetical protein,USDA1021_05961,WSM1022_05574
yhdN_2,yhdN_2,Aldo-keto reductase YhdN,USDA1021_05935,WSM1022_05548
futA1,futA1,Iron uptake protein A1,USDA1021_05699,WSM1022_00482
yfhA_2,yfhA_2,putative siderophore transport system permease protein YfhA,USDA1021_05318,WSM1022_05282
cysA_2,cysA_2,Sulfate/thiosulfate import ATP-binding protein CysA,USDA1021_04833,WSM1022_04710
group_713,,hypothetical protein,USDA1021_04831,WSM1022_04708
ttuC,ttuC,putative tartrate dehydrogenase/decarboxylase TtuC,USDA1021_04156,WSM1022_04061
dppB_1,dppB_1,Dipeptide transport system permease protein DppB,USDA1021_03217,WSM1022_02366
gcvA_4,gcvA_4,Glycine cleavage system transcriptional activator,USDA1021_03125,WSM1022_02453
adhC2,adhC2,NADP-dependent alcohol dehydrogenase C 2,USDA1021_02917,WSM1022_02660
group_711,,hypothetical protein,USDA1021_02654,WSM1022_02939
ccpA_1,ccpA_1,Catabolite control protein A,USDA1021_02289,WSM1022_03258
pyrC_2,pyrC_2,Dihydroorotase,USDA1021_01767,WSM1022_00253
tas,tas,Protein tas,USDA1021_01276,WSM1022_00927
plsX,plsX,Phosphate acyltransferase,USDA1021_01194,WSM1022_01010
nuoH_1,nuoH_1,NADH-quinone oxidoreductase subunit H,USDA1021_01136,WSM1022_01061
group_710,,D-arabitol-phosphate dehydrogenase,USDA1021_00821,WSM1022_01374
gshB_2,gshB_2,Glutathione synthetase,USDA1021_06286,WSM1022_05845
group_708,,hypothetical protein,USDA1021_06230,WSM1022_05791
pdxA2_2,pdxA2_2,D-erythronate 4-phosphate dehydrogenase,USDA1021_05477,WSM1022_05436
dhmA,dhmA,Haloalkane dehalogenase,USDA1021_05160,WSM1022_05126
yfiZ,yfiZ,putative siderophore transport system permease protein YfiZ,USDA1021_04213,WSM1022_04112
ltaE,ltaE,Low specificity L-threonine aldolase,USDA1021_02793,WSM1022_02802
ghrB_1,ghrB_1,Glyoxylate/hydroxypyruvate reductase B,USDA1021_01992,WSM1022_00028
acoA,acoA,Acetoin:26-dichlorophenolindophenol oxidoreductase subunit alpha,USDA1021_00959,WSM1022_01236
aptB,aptB,Apulose-4-phosphate transketolase subunit B,USDA1021_00683,WSM1022_01564
opuAA_1,opuAA_1,Glycine betaine transport ATP-binding protein OpuAA,USDA1021_00410,WSM1022_01824
exuR,exuR,putative HTH-type transcriptional repressor ExuR,USDA1021_06272,WSM1022_05833
cheB_2,cheB_2,Protein-glutamate methylesterase/protein-glutamine glutaminase,USDA1021_05599,WSM1022_00384
yjiA_3,yjiA_3,P-loop guanosine triphosphatase YjiA,USDA1021_05239,WSM1022_05207
fbp,fbp,Fructose-16-bisphosphatase class 1,USDA1021_05174,WSM1022_05142
group_706,,hypothetical protein,USDA1021_05051,WSM1022_03582
proV,proV,Glycine betaine/proline betaine transport system ATP-binding protein ProV,USDA1021_03230,WSM1022_02355
rbsC_4,rbsC_4,Ribose import permease protein RbsC,USDA1021_03080,WSM1022_02494
purK,purK,N5-carboxyaminoimidazole ribonucleotide synthase,USDA1021_02819,WSM1022_02764
ropA_1,ropA_1,Outer membrane protein IIIA,USDA1021_01361,WSM1022_00843
moaA,moaA,GTP 3'8-cyclase,USDA1021_00513,WSM1022_01726
yajO_1,yajO_1,1-deoxyxylulose-5-phosphate synthase YajO,USDA1021_00224,WSM1022_02016
bepA_5,bepA_5,Beta-barrel assembly-enhancing protease,USDA1021_05698,WSM1022_00481
group_704,,hypothetical protein,USDA1021_04204,WSM1022_04103
iolE_2,iolE_2,Inosose dehydratase,USDA1021_02712,WSM1022_02882
kamA,kamA,L-lysine 23-aminomutase,USDA1021_01975,WSM1022_00041
epmA,epmA,Elongation factor P--(R)-beta-lysine ligase,USDA1021_01974,WSM1022_00042
pcaB,pcaB,3-carboxy-ciscis-muconate cycloisomerase,USDA1021_05460,WSM1022_05419
hisC_3,hisC_3,Histidinol-phosphate aminotransferase,USDA1021_02325,WSM1022_03224
group_697,,PhoH-like protein,USDA1021_01844,WSM1022_00175
cbpA_1,cbpA_1,Curved DNA-binding protein,USDA1021_01611,WSM1022_00653
group_696,,hypothetical protein,USDA1021_01500,WSM1022_00786
mshA_1,mshA_1,D-inositol-3-phosphate glycosyltransferase,USDA1021_00826,WSM1022_01369
group_695,,hypothetical protein,USDA1021_00048,WSM1022_02188
group_694,,hypothetical protein,USDA1021_05202,WSM1022_05170
group_693,,hypothetical protein,USDA1021_05121,WSM1022_05087
gpuA,gpuA,Guanidinopropionase,USDA1021_03126,WSM1022_02452
group_692,,hypothetical protein,USDA1021_01614,WSM1022_00650
group_689,,hypothetical protein,USDA1021_06041,WSM1022_05652
group_688,,hypothetical protein,USDA1021_05871,WSM1022_00628
noc_3,noc_3,Nucleoid occlusion protein,USDA1021_05438,WSM1022_05397
yajO_4,yajO_4,1-deoxyxylulose-5-phosphate synthase YajO,USDA1021_04838,WSM1022_04716
hemS,hemS,Hemin transport protein HemS,USDA1021_03202,WSM1022_02381
group_686,,hypothetical protein,USDA1021_01943,WSM1022_00076
potA_3,potA_3,Spermidine/putrescine import ATP-binding protein PotA,USDA1021_00060,WSM1022_02178
group_684,,hypothetical protein,USDA1021_05500,WSM1022_05459
group_683,,hypothetical protein,USDA1021_05125,WSM1022_05091
group_682,,hypothetical protein,USDA1021_04354,WSM1022_04223
cheB_1,cheB_1,Protein-glutamate methylesterase/protein-glutamine glutaminase,USDA1021_04327,WSM1022_04196
hcr_1,hcr_1,NADH oxidoreductase HCR,USDA1021_04219,WSM1022_04120
lgoD_2,lgoD_2,L-galactonate-5-dehydrogenase,USDA1021_03995,WSM1022_03911
iolG_4,iolG_4,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,USDA1021_02060,WSM1022_03491
trpS,trpS,Tryptophan--tRNA ligase,USDA1021_01851,WSM1022_00168
lpxD,lpxD,UDP-3-O-acylglucosamine N-acyltransferase,USDA1021_00898,WSM1022_01294
group_681,,hypothetical protein,USDA1021_00418,WSM1022_01816
ccpA_4,ccpA_4,Catabolite control protein A,USDA1021_06212,WSM1022_05771
chvE,chvE,Multiple sugar-binding periplasmic receptor ChvE,USDA1021_06131,WSM1022_05689
hmuU_2,hmuU_2,Hemin transport system permease protein HmuU,USDA1021_06032,WSM1022_05643
ocd,ocd,Ornithine cyclodeaminase,USDA1021_05967,WSM1022_05580
ugpC_10,ugpC_10,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_05921,WSM1022_05534
group_680,,hypothetical protein,USDA1021_05510,WSM1022_05470
ligC,ligC,DNA ligase C,USDA1021_05367,WSM1022_05332
ugpC_6,ugpC_6,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_03109,WSM1022_02466
mepA,mepA,Penicillin-insensitive murein endopeptidase,USDA1021_02095,WSM1022_03456
group_678,xerC_1,Tyrosine recombinase XerC,USDA1021_01362,WSM1022_00844
rfbB,rfbB,dTDP-glucose 46-dehydratase,USDA1021_06403,WSM1022_05961
purR_1,purR_1,HTH-type transcriptional repressor PurR,USDA1021_05655,WSM1022_00435
caiD_2,caiD_2,Carnitinyl-CoA dehydratase,USDA1021_05496,WSM1022_05455
ugpC_9,ugpC_9,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_05373,WSM1022_05338
potA_6,potA_6,Spermidine/putrescine import ATP-binding protein PotA,USDA1021_05096,WSM1022_05062
group_677,,hypothetical protein,USDA1021_04216,WSM1022_04115
iolG_10,iolG_10,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,USDA1021_04068,WSM1022_03969
yjmC_1,yjmC_1,putative oxidoreductase YjmC,USDA1021_03074,WSM1022_02508
group_675,,hypothetical protein,USDA1021_02867,WSM1022_02718
ugpC_5,ugpC_5,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_02526,WSM1022_03008
msmX_1,msmX_1,Oligosaccharides import ATP-binding protein MsmX,USDA1021_02525,WSM1022_03009
ugpC_4,ugpC_4,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_02481,WSM1022_03056
purM,purM,Phosphoribosylformylglycinamidine cyclo-ligase,USDA1021_01233,WSM1022_00970
group_674,,Purine-binding protein,USDA1021_00715,WSM1022_01476
rafR_1,rafR_1,HTH-type transcriptional regulator RafR,USDA1021_00447,WSM1022_01788
group_672,,hypothetical protein,USDA1021_06362,WSM1022_05920
btuD_8,btuD_8,Vitamin B12 import ATP-binding protein BtuD,USDA1021_02676,WSM1022_02918
iolG_5,iolG_5,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,USDA1021_02138,WSM1022_03413
paaE,paaE,12-phenylacetyl-CoA epoxidase subunit E,USDA1021_05394,WSM1022_05360
metN,metN,Methionine import ATP-binding protein MetN,USDA1021_02715,WSM1022_02879
group_669,,hypothetical protein,USDA1021_02495,WSM1022_03041
iolG_6,iolG_6,Myo-inositol 2-dehydrogenase,USDA1021_02399,WSM1022_03148
group_667,,Putative transport protein,USDA1021_06394,WSM1022_05952
group_666,,hypothetical protein,USDA1021_05839,WSM1022_00598
melR,melR,HTH-type transcriptional repressor MelR,USDA1021_05380,WSM1022_05345
cbbA,cbbA,Fructose-bisphosphate aldolase,USDA1021_05177,WSM1022_05145
odh,odh,Opine dehydrogenase,USDA1021_05091,WSM1022_05057
group_665,potA_5,Spermidine/putrescine import ATP-binding protein PotA,USDA1021_04647,WSM1022_04509
nemA_2,nemA_2,N-ethylmaleimide reductase,USDA1021_04300,WSM1022_04172
group_664,,hypothetical protein,USDA1021_03127,WSM1022_02451
hrcA,hrcA,Heat-inducible transcription repressor HrcA,USDA1021_01873,WSM1022_00146
nadA,nadA,Quinolinate synthase A,USDA1021_01322,WSM1022_00881
group_663,,hypothetical protein,USDA1021_00568,WSM1022_01667
ugpC_11,ugpC_11,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_06581,WSM1022_06137
mshA_15,mshA_15,D-inositol-3-phosphate glycosyltransferase,USDA1021_06566,WSM1022_06122
flhB,flhB,Flagellar biosynthetic protein FlhB,USDA1021_05607,WSM1022_00392
prfA,prfA,Peptide chain release factor RF1,USDA1021_02999,WSM1022_02580
group_659,,hypothetical protein,USDA1021_02920,WSM1022_02657
group_658,,hypothetical protein,USDA1021_02885,WSM1022_02697
malK_2,malK_2,Maltose/maltodextrin import ATP-binding protein MalK,USDA1021_02139,WSM1022_03412
yejB,yejB,Inner membrane ABC transporter permease protein YejB,USDA1021_02097,WSM1022_03454
pheS,pheS,Phenylalanine--tRNA ligase alpha subunit,USDA1021_01965,WSM1022_00051
frcC,frcC,Fructose import permease protein FrcC,USDA1021_01770,WSM1022_00250
group_657,,hypothetical protein,USDA1021_01264,WSM1022_00939
queA,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,USDA1021_00811,WSM1022_01383
group_656,,hypothetical protein,USDA1021_05547,WSM1022_05506
malK_4,malK_4,Maltose/maltodextrin import ATP-binding protein MalK,USDA1021_05406,WSM1022_05372
group_655,,hypothetical protein,USDA1021_05137,WSM1022_05103
group_653,,hypothetical protein,USDA1021_02708,WSM1022_02886
chaA,chaA,Sodium-potassium/proton antiporter ChaA,USDA1021_01731,WSM1022_00289
cysK_1,cysK_1,Cysteine synthase,USDA1021_00767,WSM1022_01425
recA,recA,Protein RecA,USDA1021_00576,WSM1022_01659
ugpC_2,ugpC_2,sn-glycerol-3-phosphate import ATP-binding protein UgpC,USDA1021_00451,WSM1022_01784
msiK_2,msiK_2,Diacetylchitobiose uptake system ATP-binding protein MsiK,USDA1021_06265,WSM1022_05826
malK_5,malK_5,Maltose/maltodextrin import ATP-binding protein MalK,USDA1021_05660,WSM1022_00440
sugC_3,sugC_3,Trehalose import ATP-binding protein SugC,USDA1021_04696,WSM1022_04606
group_651,,hypothetical protein,USDA1021_04436,WSM1022_04282
group_650,,hypothetical protein,USDA1021_03234,WSM1022_02351
pyrD,pyrD,Dihydroorotate dehydrogenase (quinone),USDA1021_01710,WSM1022_00309
emrA_1,emrA_1,Colistin resistance protein EmrA,USDA1021_01282,WSM1022_00921
group_649,,Leu/Ile/Val-binding protein,USDA1021_00621,WSM1022_01625
group_648,,hypothetical protein,USDA1021_00185,WSM1022_02054
hflK,hflK,Modulator of FtsH protease HflK,USDA1021_00158,WSM1022_02080
rbsR,rbsR,Ribose operon repressor,USDA1021_06359,WSM1022_05917
mshA_8,mshA_8,D-inositol-3-phosphate glycosyltransferase,USDA1021_06291,WSM1022_05850
group_646,msmX_2,Oligosaccharides import ATP-binding protein MsmX,USDA1021_05143,WSM1022_05109
group_645,,Leu/Ile/Val-binding protein,USDA1021_04815,WSM1022_04672
group_644,,hypothetical protein,USDA1021_01227,WSM1022_00976
group_643,,hypothetical protein,USDA1021_00390,WSM1022_01843
spuD_1,spuD_1,Putrescine-binding periplasmic protein SpuD,USDA1021_05683,WSM1022_00466
