Mt5.0 (r1.7) locus tag,ACRONYM,new locus_tag (r1.7),DESCRIPTION,Publication,ID Mt5.0 (r1.6),ID Mt4.0,ID Mt20120830,Affymetrix probe set,Nimblegen probe
MtrunA17_Chr4g0012931,MtnsLTP23,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0012931,Medtr4g028310,Mt0014_00424,Mtr.8196.1.S1_at,Medtr_v1_023174
MtrunA17_Chr4g0012941,MtnsLTP24,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0012941,Medtr4g028360,Mt0014_00421,Mtr.8972.1.S1_at,Medtr_v1_023177
MtrunA17_Chr4g0013261,MtnsLTP27,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0013261,Medtr4g029390,Mt0014_00382,Mtr.17550.1.S1_at,Medtr_v1_023218
MtrunA17_Chr4g0012951,MtnsLTP28,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0012951,Medtr4g428370,Mt0014_00420,Msa.2936.1.S1_at,Medtr_v1_023178
MtrunA17_Chr1g0165761,MtnsLTP3,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0165761,Medtr1g040335,Mt0002_11427,Mtr.9104.1.S1_at,Medtr_v1_089793
MtrunA17_Chr7g0244641,MtnsLTP30,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244641,Medtr7g072730,Mt0026_00269,Mtr.35623.1.S1_at,Medtr_v1_044217
MtrunA17_Chr7g0244651,MtnsLTP31,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244651,Medtr7g072760,Mt0026_00271,Mtr.43563.1.S1_at,Medtr_v1_044220
MtrunA17_Chr7g0244661,MtnsLTP32,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244661,Medtr7g072810,Mt0026_00277,Mtr.35627.1.S1_at,Medtr_v1_044223
MtrunA17_Chr7g0244671,MtnsLTP33,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244671,Medtr7g072830,Mt0026_00278,#N/A,Medtr_v1_044225
MtrunA17_Chr7g0244681,MtnsLTP34,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244681,Medtr7g072900,Mt0026_00280,#N/A,Medtr_v1_044230
MtrunA17_Chr7g0244711,MtnsLTP36,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244711,Medtr7g072960,Mt0026_00283,#N/A,#N/A
MtrunA17_Chr7g0244721,MtnsLTP37,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244721,Medtr7g072980,Mt0026_00284,Mtr.36947.1.S1_at,#N/A
MtrunA17_Chr7g0244731,MtnsLTP38,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244731,Medtr7g072987,Mt0026_00285,#N/A,#N/A
MtrunA17_Chr7g0244741,MtnsLTP39,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244741,Medtr7g072993,Mt0026_00286,Mtr.9346.1.S1_at,#N/A
MtrunA17_Chr1g0203701,MtnsLTP4,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0203701,Medtr1g101320,Mt0053_00162,Mtr.21402.1.S1_at,Medtr_v1_007590
MtrunA17_Chr7g0244751,MtnsLTP40,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244751,Medtr7g073030,Mt0026_00290,Mtr.29537.1.S1_at,Medtr_v1_044242
MtrunA17_Chr7g0244761,MtnsLTP41,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244761,Medtr7g073060,Mt0026_00291,Mtr.37117.1.S1_at,#N/A
MtrunA17_Chr7g0244811,MtnsLTP43,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244811,Medtr7g073120,Mt0026_00294,Mtr.7211.1.S1_at,Medtr_v1_044250
MtrunA17_Chr7g0244821,MtnsLTP44,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244821,Medtr7g073130,Mt0026_00295,#N/A,Medtr_v1_044251
MtrunA17_Chr7g0244841,MtnsLTP46,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0244841,Medtr7g073170,Mt0026_00297,Mtr.33847.1.S1_at,#N/A
MtrunA17_Chr7g0233431,MtnsLTP47,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0233431,Medtr7g451500,Mt0022_00514,Mtr.29586.1.S1_at,Medtr_v1_098300
MtrunA17_Chr3g0087751,MtnsLTP48,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr3g0087751,Medtr3g027590,Mt0043_10137,#N/A,Medtr_v1_015965
MtrunA17_Chr3g0100281,MtnsLTP49,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr3g0100281,Medtr3g055250,Mt0013_00729,#N/A,Medtr_v1_017032
MtrunA17_Chr2g0309241,MtnsLTP5,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0309241,Medtr2g062600,Mt0072_00102,Mtr.51360.1.S1_at,Medtr_v1_011843
MtrunA17_Chr4g0034531,MtnsLTP50,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0034531,Medtr4g069170,Mt0003_00788,#N/A,Medtr_v1_081668
MtrunA17_Chr4g0034561,MtnsLTP51,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0034561,Medtr4g069200,Mt0003_00789,Mtr.2209.1.S1_at,Medtr_v1_085013
MtrunA17_Chr4g0034581,MtnsLTP52,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0034581,Medtr4g069220,Mt0003_00791,Mtr.43294.1.S1_at,Medtr_v1_079306
MtrunA17_Chr7g0234401,MtnsLTP54,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0234401,Medtr7g052640,Mt0022_00403,Mtr.20073.1.S1_at,Medtr_v1_043482
MtrunA17_Chr1g0185321,MtnsLTP55,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0185321,Medtr1g071730,Mt0004_00956,Mtr.24395.1.S1_at,Medtr_v1_006029
MtrunA17_Chr1g0205181,MtnsLTP56,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0205181,Medtr1g103450,Mt0057_10236,#N/A,#N/A
MtrunA17_Chr1g0205191,MtnsLTP57,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0205191,Medtr1g103470,Mt0057_10236,#N/A,Medtr_v1_082098
MtrunA17_Chr1g0205201,MtnsLTP58,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0205201,Medtr1g103490,Mt0057_10235,Mtr.36039.1.S1_at,#N/A
MtrunA17_Chr5g0395001,MtnsLTP59,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0395001,Medtr5g006950,Mt0005_00095,Mtr.40769.1.S1_at,Medtr_v1_029562
MtrunA17_Chr2g0324321,MtnsLTP6,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0324321,Medtr2g090350,#N/A,#N/A,#N/A
MtrunA17_Chr4g0056621,MtnsLTP60,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0056621,Medtr4g101780,Mt0001_11407,Mtr.27739.1.S1_at,Medtr_v1_029171
MtrunA17_Chr5g0398821,MtnsLTP61,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0398821,Medtr5g011950,Mt0005_10351,Mtr.27763.1.S1_at,Medtr_v1_030007
MtrunA17_Chr5g0398831,MtnsLTP62,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0398831,Medtr5g011960,Mt0005_10352,#N/A,Medtr_v1_030008
MtrunA17_Chr5g0398841,MtnsLTP63,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0398841,Medtr5g011980,Mt0005_10354,Mtr.10837.1.S1_at,Medtr_v1_030010
MtrunA17_Chr7g0240451,MtnsLTP64,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0240451,Medtr7g065160,Mt0086_10089,Mtr.12213.1.S1_at,#N/A
MtrunA17_Chr7g0240471,MtnsLTP65,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0240471,Medtr7g065210,Mt0086_10091,Mtr.12255.1.S1_at,Medtr_v1_043839
MtrunA17_Chr8g0368861,MtnsLTP67,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr8g0368861,Medtr8g070040,Mt0020_00009,Mtr.37608.1.S1_at,Medtr_v1_081426
MtrunA17_Chr1g0149471,MtnsLTP68,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0149471,Medtr1g012630,Mt0002_10224,Msa.2907.1.S1_at,#N/A
MtrunA17_Chr2g0324771,MtnsLTP7,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0324771,Medtr2g090600,Mt0019_00519,#N/A,Medtr_v1_066900
MtrunA17_Chr1g0149481,MtnsLTP70,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0149481,Medtr1g012700,Mt0002_10228,Mtr.42451.1.S1_at,Medtr_v1_004264
MtrunA17_Chr1g0149491,MtnsLTP71,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0149491,Medtr1g012710,Mt0002_10229,Mtr.37476.1.S1_at,Medtr_v1_004265
MtrunA17_Chr2g0290521,MtnsLTP72,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0290521,Medtr2g026760,Mt0018_00093,Mtr.43058.1.S1_at,Medtr_v1_010305
MtrunA17_Chr2g0290541,MtnsLTP74,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0290541,Medtr2g026820,Mt0018_00096,#N/A,#N/A
MtrunA17_Chr2g0290571,MtnsLTP76,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0290571,Medtr2g026930,Mt0018_00103,#N/A,Medtr_v1_010321
MtrunA17_Chr3g0120411,MtnsLTP77,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr3g0120411,Medtr3g082100,Mt0006_10395,Msa.982.1.S1_at,Medtr_v1_018220
MtrunA17_Chr3g0137521,MtnsLTP78,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr3g0137521,Medtr3g106740,Mt0007_00862,Msa.1688.1.S1_at,Medtr_v1_019998
MtrunA17_Chr3g0137531,MtnsLTP79,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr3g0137531,Medtr3g106750,Mt0007_00863,Mtr.14111.1.S1_at,Medtr_v1_019999
MtrunA17_Chr3g0095931,MtnsLTP8,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr3g0095931,Medtr3g046350,Mt0060_00025,#N/A,Medtr_v1_071853
MtrunA17_Chr4g0056371,MtnsLTP80,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0056371,Medtr4g101260,Mt0001_11423,Mtr.7181.1.S1_at,Medtr_v1_026448
MtrunA17_Chr4g0056381,MtnsLTP81,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0056381,Medtr4g101270,Mt0001_11422,#N/A,Medtr_v1_026449
MtrunA17_Chr4g0056391,MtnsLTP82,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0056391,Medtr4g101280,Mt0001_01491,Mtr.5687.1.S1_s_at,Medtr_v1_026450
MtrunA17_Chr4g0056401,MtnsLTP83,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0056401,Medtr4g101310,Mt0001_11420,Mtr.32740.1.S1_at,Medtr_v1_026452
MtrunA17_Chr4g0056411,MtnsLTP84,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0056411,Medtr4g101330,Mt0001_01491,Mtr.40136.1.S1_at,Medtr_v1_026454
MtrunA17_Chr4g0060391,MtnsLTP85,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0060391,Medtr4g108150,Mt0001_01162,Mtr.37275.1.S1_at,Medtr_v1_026724
MtrunA17_Chr4g0064361,MtnsLTP86,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr4g0064361,Medtr4g115360,Mt0001_00905,Mtr.37354.1.S1_s_at,Medtr_v1_027067
MtrunA17_Chr5g0399081,MtnsLTP87,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0399081,Medtr5g012340,Mt0005_00367,#N/A,#N/A
MtrunA17_Chr5g0399091,MtnsLTP88,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0399091,Medtr5g012380,Mt0005_00368,#N/A,#N/A
MtrunA17_Chr7g0251811,MtnsLTP89,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0251811,Medtr7g083580,Mt0011_10537,Mtr.22353.1.S1_at,Medtr_v1_045066
MtrunA17_Chr3g0095941,MtnsLTP9,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr3g0095941,Medtr3g046443,Mt0322_10002,#N/A,#N/A
MtrunA17_Chr1g0161201,MtnsLTP90,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0161201,Medtr1g032400,Mt0002_01074,#N/A,Medtr_v1_002542
MtrunA17_Chr7g0259631,MtnsLTP92,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr7g0259631,Medtr7g094650,Mt0011_10006,#N/A,Medtr_v1_081318
MtrunA17_Chr2g0278971,MtnsLTP93,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0278971,Medtr2g008560,Mt0023_00326,#N/A,Medtr_v1_009220
MtrunA17_Chr2g0278981,MtnsLTP94,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0278981,Medtr2g008580,Mt0023_00325,#N/A,Medtr_v1_009221
MtrunA17_Chr5g0429901,MtnsLTP95,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0429901,Medtr5g070360,Mt0008_10742,Mtr.37927.1.S1_at,Medtr_v1_034234
MtrunA17_Chr1g0205171,MtnsLTP96,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr1g0205171,Medtr1g103420,Mt0046_00204,Mtr.39619.1.S1_at,Medtr_v1_084055
MtrunA17_Chr5g0394991,MtnsLTP97,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0394991,Medtr5g006940,Mt0005_10123,Mtr.13185.1.S1_at,Medtr_v1_029561
MtrunA17_Chr2g0304141,MtnsLTP98,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr2g0304141,Medtr2g049980,Mt0047_00182,#N/A,#N/A
MtrunA17_Chr5g0394951,MtnsLTP99,#N/A,non-specific Lipid Transfer Protein,PMID:29030416,MtrunA17Chr5g0394951,Medtr5g006900,Mt0005_10122,#N/A,#N/A
MtrunA17_Chr8g0344101,MtNSP1,#N/A,Nodulation Signaling Pathway 1,PMID:15961669,MtrunA17Chr8g0344101,Medtr8g020840,Mt0028_00160,Mtr.39863.1.S1_at,Medtr_v1_048863
MtrunA17_Chr3g0114841,MtNSP2,#N/A,Nodulation Signaling Pathway 2,PMID:15961668,MtrunA17Chr3g0114841,Medtr3g072710,Mt0006_00755,Mtr.44789.1.S1_at,Medtr_v1_017844
MtrunA17_Chr5g0398211,MtNYE1,#N/A,"non-yellowing 1 (=stay green 1, SG1)",PMID:25922487,MtrunA17Chr5g0398211,Medtr5g011120,Mt0005_00308,Msa.1505.1.S1_at,Medtr_v1_029931
MtrunA17_Chr5g0394861,MtOPR,#N/A,12-OPDA reductase; TC94406,PMID:17249425,MtrunA17Chr5g0394861,Medtr5g006780,Mt0005_00089,Mtr.25362.1.S1_s_at,#N/A
MtrunA17_Chr4g0070561,MtOPR3,#N/A,oxophytodienoate-reductase 3 (jasmonic acid biosynthesis),PMID:25922487,MtrunA17Chr4g0070561,Medtr4g125470,Mt0001_00455,Mtr.2426.1.S1_at,Medtr_v1_079703
MtrunA17_Chr1g0181091,MtPAL,#N/A,Phenylalanine Ammonia Lyase (defense response-activated); TC106667,PMID:24916161,MtrunA17Chr1g0181091,Medtr1g064090,Mt0004_10695,Mtr.29652.1.S1_at,Medtr_v1_005893
MtrunA17_Chr5g0448361,MtPAL1,#N/A,phenylalanine ammonia lyase 1,PMID:25527707,MtrunA17Chr5g0448361,Medtr5g098720,Mt0010_01095,Mtr.38612.1.S1_at,Medtr_v1_036582
MtrunA17_Chr1g0199551,MtPAL2,#N/A,phenylalanine ammonia lyase 2,PMID:25527707,MtrunA17Chr1g0199551,Medtr1g094780,Mt0027_00220,Msa.2880.1.S1_at,Medtr_v1_007199
MtrunA17_Chr1g0181091,MtPAL2-2,#N/A,PHENYL ALANINE AMMONIA LYASE 2,PMID:17249425,MtrunA17Chr1g0181091,Medtr1g064090,Mt0004_10695,Mtr.29652.1.S1_at,Medtr_v1_005893
MtrunA17_Chr4g0027961,MtPAO,#N/A,PHEOPHORBIDE A OXYGENASE; chlorophyll degradation,PMID:25922487,MtrunA17Chr4g0027961,Medtr4g057200,Mt0003_00275,Mtr.50948.1.S1_at,Medtr_v1_024158
MtrunA17_Chr1g0185541,MtPCY1,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0185541,#N/A,Mt0004_00976,Mtr.48365.1.S1_at,Medtr_v1_006050
MtrunA17_Chr1g0177331,MtPCY10,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0177331,Medtr1g105120,Mt0004_00344,Mtr.37021.1.S1_at,Medtr_v1_007734
MtrunA17_Chr4g0033131,MtPCY12,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr4g0033131,Medtr4g067200,Mt0003_00691,#N/A,Medtr_v1_094537
MtrunA17_Chr4g0064031,MtPCY14,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr4g0064031,Medtr4g114830,Mt0001_10909,#N/A,Medtr_v1_027021
MtrunA17_Chr6g0458331,MtPCY15,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr6g0458331,Medtr6g022170,Mt0033_00208,#N/A,Medtr_v1_068271
MtrunA17_Chr7g0253671,MtPCY16,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253671,Medtr7g086140,Mt0011_00440,#N/A,Medtr_v1_045260
MtrunA17_Chr7g0253681,MtPCY17,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253681,Medtr7g086160,Mt0011_00439,Mtr.15627.1.S1_at,#N/A
MtrunA17_Chr7g0253701,MtPCY18,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253701,Medtr7g086190,Mt0011_00438,#N/A,#N/A
MtrunA17_Chr7g0253731,MtPCY19,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253731,Medtr7g086220,Mt0011_00436,Mtr.15632.1.S1_at,#N/A
MtrunA17_Chr2g0301431,MtPCY2,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr2g0301431,Medtr2g043730,Mt0056_10097,Mtr.4804.1.S1_at,Medtr_v1_074723
MtrunA17_Chr7g0253711,MtPCY20,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253711,Medtr7g086200,Mt0011_10410,Mtr.15630.1.S1_at,Medtr_v1_045264
MtrunA17_Chr4g0062311,MtPCY22,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr4g0062311,Medtr4g112310,Mt0001_01037,Mtr.17502.1.S1_at,Medtr_v1_026809
MtrunA17_Chr7g0256441,MtPCY23,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0256441,Medtr7g090170,Mt0011_00246,Mtr.26279.1.S1_at,Medtr_v1_045602
MtrunA17_Chr5g0441381,MtPCY24,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr5g0441381,Medtr5g088990,Mt0010_00592,Msa.2731.1.S1_at,Medtr_v1_035726
MtrunA17_Chr1g0201741,MtPCY25,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0201741,Medtr1g098580,Mt0027_00058,Mtr.15307.1.S1_at,Medtr_v1_007376
MtrunA17_Chr1g0154101,MtPCY26,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0154101,Medtr1g021320,Mt0002_00591,Mtr.20285.1.S1_at,Medtr_v1_004730
MtrunA17_Chr1g0154071,MtPCY27,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0154071,Medtr1g021290,Mt0002_00590,Mtr.49505.1.S1_at,Medtr_v1_004728
MtrunA17_Chr1g0154131,MtPCY28,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0154131,Medtr1g021360,Mt0002_00594,Mtr.49511.1.S1_at,#N/A
MtrunA17_Chr4g0064041,MtPCY29,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr4g0064041,Medtr4g114870,Mt0001_10908,Mtr.31903.1.S1_at,Medtr_v1_027025
MtrunA17_Chr3g0125761,MtPCY3,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr3g0125761,Medtr3g089005,Mt0006_00008,Msa.1566.1.S1_at,Medtr_v1_074544
MtrunA17_Chr2g0306461,MtPCY30,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr2g0306461,Medtr0334s0010,Mt0293_00001,Mtr.8601.1.S1_at,Medtr_v1_094054
MtrunA17_Chr7g0253761,MtPCY31,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253761,Medtr7g086280,Mt0011_00430,Mtr.36994.1.S1_s_at,Medtr_v1_045267
MtrunA17_Chr7g0253741,MtPCY32,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253741,Medtr7g086230,Mt0011_00435,#N/A,#N/A
MtrunA17_Chr7g0253641,MtPCY33,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253641,Medtr7g086100,Mt0011_00442,Mtr.51106.1.S1_at,#N/A
MtrunA17_Chr5g0394321,MtPCY34,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr5g0394321,Medtr5g006040,Mt0005_10074,Mtr.19257.1.S1_at,Medtr_v1_029475
MtrunA17_Chr7g0253631,MtPCY35,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr7g0253631,Medtr7g086090,Mt0011_00443,Mtr.14511.1.S1_at,Medtr_v1_048021
MtrunA17_Chr3g0132511,MtPCY36,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr3g0132511,Medtr3g099680,Mt0007_00548,#N/A,Medtr_v1_019514
MtrunA17_Chr3g0132701,MtPCY37,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr3g0132701,Medtr3g099980,Mt0007_00559,#N/A,Medtr_v1_019539
MtrunA17_Chr3g0132431,MtPCY38,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr3g0132431,Medtr3g099570,Mt0007_10552,Mtr.18119.1.S1_at,Medtr_v1_019503
MtrunA17_Chr1g0205701,MtPCY39,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0205701,Medtr1g104800,Mt0057_10189,Mtr.25546.1.S1_at,Medtr_v1_007708
MtrunA17_Chr3g0125791,MtPCY4,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr3g0125791,Medtr3g089035,Mt0006_00006,Mtr.1617.1.S1_s_at,Medtr_v1_067259
MtrunA17_Chr3g0132441,MtPCY40,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr3g0132441,Medtr3g099580,Mt0007_10553,Msa.3080.1.S1_at,Medtr_v1_019504
MtrunA17_Chr8g0335531,MtPCY41,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr8g0335531,Medtr8g007020,Mt0015_00089,Mtr.1423.1.S1_at,#N/A
MtrunA17_Chr2g0323021,MtPCY42,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr2g0323021,Medtr2g088990,Mt0019_00382,Mtr.2376.1.S1_at,Medtr_v1_012999
MtrunA17_Chr2g0301451,MtPCY43,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr2g0301451,#N/A,Mt0056_10095,#N/A,Medtr_v1_088857
MtrunA17_Chr8g0335571,MtPCY44,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr8g0335571,Medtr8g007035,Mt0015_00089,Mtr.40333.1.S1_x_at,Medtr_v1_073659
MtrunA17_Chr6g0459441,MtPCY45,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr6g0459441,Medtr6g023760,Mt0033_00270,Mtr.5504.1.S1_at,Medtr_v1_038821
MtrunA17_Chr6g0481491,MtPCY46,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr6g0481491,Medtr6g080660,Mt0014_00010,#N/A,Medtr_v1_040289
MtrunA17_Chr2g0324721,MtPCY47,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr2g0324721,Medtr2g090580,Mt0019_10508,#N/A,#N/A
MtrunA17_Chr1g0196801,MtPCY48,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0196801,Medtr1g090190,Mt0039_00071,#N/A,Medtr_v1_006987
MtrunA17_Chr4g0001571,MtPCY49,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr4g0001571,Medtr4g007250,Mt0038_00029,Mtr.10674.1.S1_at,Medtr_v1_022173
MtrunA17_Chr3g0132411,MtPCY5,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr3g0132411,Medtr3g099540,Mt0007_10549,Mtr.18118.1.S1_at,Medtr_v1_019500
MtrunA17_Chr4g0040291,MtPCY50,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr4g0040291,Medtr4g078410,Mt0003_11215,Mtr.28725.1.S1_at,Medtr_v1_025247
MtrunA17_Chr1g0211101,MtPCY52,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr1g0211101,Medtr1g112700,Mt0029_10192,#N/A,#N/A
MtrunA17_Chr2g0319611,MtPCY53,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr2g0319611,Medtr2g083250,Mt0019_00154,Mtr.19874.1.S1_at,Medtr_v1_012626
MtrunA17_Chr4g0041811,MtPCY54,#N/A,Plantacyanin/Chemocyanin,PMID:29030416,MtrunA17Chr4g0041811,Medtr4g081100,Mt0003_11335,Mtr.11391.1.S1_at,#N/A
