,"Supplementary Dataset 1. List of functionally-validated SNF genes in legumes. Roy et al. (2019). Plant Cell 10.1105/tpc.19.00279. Table shows genes validated by mutational analyses (RNAi, antisense, Tnt1, LORE1, EMS mutagenesis, Y-ray mutagenesis, CRISPR-Cas9, etc). Involvement in different stages of nodulation and nitrogen fixation are indicated by Nod +/-; Inf +/- and fix +/- identifiers for which the key is provided in a separate tab labelled 'Key'. All sequences are provided in a separate tab labelled 'Sequences'. Genes with overexpression phenotypes or expression data alone were not included. Phenotypes associated with lines where multiple genes have been knocked down or edited are entered only once. Each reference indicates the first study describing a mutant in which the gene was identified and the genes are annotated with the two letter code to the corresponding species. The full table with orthology information and gene identifiers can be found at https://nobleapps.noble.org/LegumeGenetics",,,,,,,,,,,,,,,
GmINS1,n/a,Nod+/-,Fix+/-,"Li et al., 2018",Cell wall component (b-expansin),INCREASING NODULE SIZE 1 (INS1),,RNAi,Medtr1g032730,Mtr.32987.1.S1_at,Lj0g3v0264009,Glyma.07G172000,Phvul.003G016300,n/a,,"Li, X., Zheng, J., Yang, Y., and Liao, H. (2018a). INCREASING NODULE SIZE1 expression is required for normal rhizobial symbiosis and nodule development. Plant physiology 178, 1233-1248."
LjIPT3,n/a,Nod++,n/a,"Sasaki et al., 2014",Enzyme (Transferase),ISOPENTENYL TRANSFERASE (IPT3),,LORE1,Medtr1g072540,Mtr.12113.1.S1_at,Lj5g3v0962690.1,Glyma.10G025300,Phvul.007G170100,n/a,,"Sasaki, T., Suzaki, T., Soyano, T., Kojima, M., Sakakibara, H., and Kawaguchi, M. (2014). Shoot-derived cytokinins systemically regulate root nodulation. Nature Communications 5, 4983."
LjKLV,n/a,"Nod++, Nod*",n/a,"Miyazawa et al., 2010",Enzyme (Kinase; LRR-RLK),KLAVIER (KLV),,Ion Beam Mutagenesis,"Medtr6g015265, Medtr6g015190","Mtr.43460.1.S1_at, Mtr.9737.1.S1_at",Lj1g3v3023720,"Glyma.18G267000, Glyma.13G056200",Phvul.004G037600,n/a,,"Miyazawa, H., Oka-Kira, E., Sato, N., Takahashi, H., Wu, G.-J., Sato, S., Hayashi, M., Betsuyaku, S., Nakazono, M., and Tabata, S. (2010). The receptor-like kinase KLAVIER mediates systemic regulation of nodulation and non-symbiotic shoot development in Lotus japonicus. Development 137, 4317-4325."
MtKNAT3/MtKNAT5/MtKNAT9/MtKNAT10,Inf+,"Nod+, Nod*",n/a,"Di Giacomo et al., 2017",TF (KNOX Homeodomain),KNOTTED-1 LIKE TAKE HOMEDOMAIN proteins (KNAT3/KNAT5/KNAT9/KNAT10),,RNAi,"Medtr1g012960, Medtr3g106400, Medtr4g116545, Medtr2g461240",,"Lj1g3v1853300, Lj0g3v0268639, Lj6g3v1088990","Glyma.14G112400 (KNAT3), Glyma.04G064100 (KNAT5), Glyma.06G065200 (KNAT5), Glyma.17G104800 (KNAT9), Glyma.15G202200 (KNAT10)","Phvul.009G090500, Phvul.003G174900, Phvul.009G209500",n/a,,"Di Giacomo, E., Laffont, C., Sciarra, F., Iannelli, M.A., Frugier, F., and Frugis, G. (2017). KNAT3/4/5‐like class 2 KNOX transcription factors are involved in Medicago truncatula symbiotic nodule organ development. New Phytologist 213, 822-837."
LjLAN,Inf-,Nod+/-,Fix+/-,"Suzaki et al., 2019",Multiprotein complex,LACK OF SYMBIONT ACCOMMODATION (LAN),,"EMS, LORE1, CRISPR/Cas9",Medtr3g116260,Mtr.51430.1.S1_at,Lj3g3v3487860,Glyma.04G123300,Phvul.002G127500,Myc+/-,,"Suzaki, T., Takeda, N., Nishida, H., Hoshino, M., Ito, M., Misawa, F., Handa, Y., Miura, K., and Kawaguchi, M. (2019). LACK OF SYMBIONT ACCOMMODATION controls intracellular symbiont accommodation in root nodule and arbuscular mycorrhizal symbiosis in Lotus japonius. PLoS genetics 15, e1007865."
MtLAX2,n/a,Nod+/-,n/a,"Roy et al., 2017",Transporter (Auxin influx),LIKE-AUX1 (LAX2),,Tnt1,Medtr7g067450,Mtr.41246.1.S1_at,Lj0g3v0304149,Glyma.07G147000,Phvul.008G106300,Myc+,,"Roy, S., Robson, F., Lilley, J., Liu, C.-W., Cheng, X., Wen, J., Walker, S., Sun, J., Cousins, D., and Bone, C. (2017). MtLAX2, a functional homologue of the Arabidopsis auxin influx transporter AUX1, is required for nodule organogenesis. Plant Physiology 174, 326-338."
LjLB1/LjLB2/LjLB3,Inf+,Nod+,Fix-,"Ott et al., 2005",Oxygen carrier hemoprotein,LEGHEMOGLOBIN (LB1/LB2/LB3),,RNAi,-,-,"Lj5g3v0035290, Lj5g3v0035290, Lj5g3v0465970 ",-,-,n/a,,"Ott, T., van Dongen, J.T., Gu, C., Krusell, L., Desbrosses, G., Vigeolas, H., Bock, V., Czechowski, T., Geigenberger, P., and Udvardi, M.K. (2005). Symbiotic leghemoglobins are crucial for nitrogen fixation in legume root nodules but not for general plant growth and development. Current biology 15, 531-535."
"MtLIN, LjLIN","Inf+/-, Inf*","Nod*, White++",n/a,"Yano et al., 2009; Kiss et al., 2009",Enzyme (Ligase),LUMPY InfectionS (LIN),Ljcerberus,EMS,Medtr1g090320,-,Lj5g3v1697430,Glyma.10G194500,Phvul.007G136300,Myc+/-,,"Yano, K., Yoshida, S., Müller, J., Singh, S., Banba, M., Vickers, K., Markmann, K., White, C., Schuller, B., and Sato, S. (2008). CYCLOPS, a mediator of symbiotic intracellular accommodation. Proceedings of the National Academy of Sciences 105, 20540-20545., Kiss, E., Oláh, B., Kaló, P., Morales, M., Heckmann, A.B., Borbola, A., Lózsa, A., Kontár, K., Middleton, P., and Downie, J.A. (2009). LIN, a novel type of U-box/WD40 protein, controls early infection by rhizobia in legumes. Plant physiology 151, 1239-1249."
LjLNP,Inf-,Nod-,n/a,"Roberts et al., 2013",Enzyme (Hydrolase),LECTIN NUCLEOTIDE PHOSPHOHYDROLASE (LNP),,Antisense,Medtr7g085150,Mtr.14668.1.S1_at,Lj1g3v3948070,Glyma.16G043300,Phvul.001G099900,Myc+/-,,"Roberts, N.J., Morieri, G., Kalsi, G., Rose, A., Stiller, J., Edwards, A., Xie, F., Gresshoff, P.M., Oldroyd, G.E., and Downie, J.A. (2013). Rhizobial and mycorrhizal symbioses in Lotus japonicus require lectin nucleotide phosphohydrolase, which acts upstream of calcium signaling. Plant physiology 161, 556-567."
MtLOG1,n/a,Nod+/-,n/a,"Mortier et al., 2014","Enzyme (Hydrolase), cytokinin riboside 5′‐monophosphate phosphoribohydrolases",LONELYGUY1 (LOG1),,RNAi,Medtr0041s0100,Mtr.39530.1.S1_s_at,Lj1g3v4580630,Glyma.03G181300,Phvul.001G177400,n/a,,"Mortier, V., Wasson, A., Jaworek, P., De Keyser, A., Decroos, M., Holsters, M., Tarkowski, P., Mathesius, U., and Goormachtig, S. (2014). Role of LONELY GUY genes in indeterminate nodulation on Medicago truncatula. New Phytologist 202, 582-593."
LjLSK1,n/a,"Nod++, Nod*",n/a,"Garagounis et al., 2018",Enzyme (Kinase),SHAGGY LIKE KINASE (LSK1),,"LORE1, RNAi",Medtr8g432510,Mtr.43632.1.S1_at,Lj0g3v0083059,"Glyma.07G076700, Glyma.03G016500",Phvul.010G090200,n/a,,"Garagounis, C., Tsikou, D., Plitsi, P.K., Psarrakou, I.S., Avramidou, M., Stedel, C., Anagnostou, M., Georgopoulou, M.E., and Papadopoulou, K.K. (2018). Lotus SHAGGY‐like kinase 1 is required to suppress nodulation in Lotus japonicus. The Plant Journal."
"LjNFR1, MtLYK3",Inf-,Nod-,Fix-,"Radatoiu et al., 2003; Limpens et al., 2003",Enzyme (Kinase; LysM-RLK),LysM RECEPTOR KINASE (LYK3),"Ljnfr1 (nod factor receptor), Ljsym1, Pssym37","T-DNA, RNAi",Medtr5g086130,Mtr.142.1.S1_s_at,Lj2g3v2904690,Glyma.02G270800,Phvul.008G211100,Myc+/-,,"Radutoiu, S., Madsen, L.H., Madsen, E.B., Felle, H.H., Umehara, Y., Grønlund, M., Sato, S., Nakamura, Y., Tabata, S., and Sandal, N. (2003). Plant recognition of symbiotic bacteria requires two LysM receptor-like kinases. Nature 425, 585., Limpens, E., Franken, C., Smit, P., Willemse, J., Bisseling, T., and Geurts, R. (2003). LysM domain receptor kinases regulating rhizobial Nod factor-induced infection. Science 302, 630-633."
LjMATE1,n/a,Nod*,"Fix+/-, Fix*","Takanashi et al., 2013",Transporter (Citrate),MULTIDRUG AND TOXIC COMPOUND EXTRUSION 1 (MATE1),Mtmate67,RNAi,"Medtr3g029510, Medtr8g037170","Mtr.8402.1.S1_at, Mtr.3624.1.S1_at",Lj3g3v0838300,Glyma.09G102800,Phvul.005G021900,n/a,,"Takanashi, K., Yokosho, K., Saeki, K., Sugiyama, A., Sato, S., Tabata, S., Ma, J.F., and Yazaki, K. (2013). LjMATE1: a citrate transporter responsible for iron supply to the nodule infection zone of Lotus japonicus. Plant and cell physiology 54, 585-594."
GmmiR160,Inf++,Nod++,n/a,"Nizampatnam et al., 2015",Gene regulation,micro RNA 160 (miR160),,STTM,mtr-miR160a,-,-,Glyma.11G242700,Phvul.001G254500,n/a,Targets ARF10/16/17 family,"Nizampatnam, N.R., Schreier, S.J., Damodaran, S., Adhikari, S., and Subramanian, S. (2015). micro RNA 160 dictates stage‐specific auxin and cytokinin sensitivities and directs soybean nodule development. The Plant Journal 84, 140-153."
GmmiR167,n/a,Nod+/-,n/a,"Wang et al., 2015",Gene regulation,micro RNA 167 (miR167),,STTM,mtr-miR167a,-,-,Glyma.02G143900,-,n/a,Targets GmARF8a/8b,"Wang, Y., Li, K., Chen, L., Zou, Y., Liu, H., Tian, Y., Li, D., Wang, R., Zhao, F., and Ferguson, B.J. (2015). MicroRNA167-directed regulation of the auxin response factors GmARF8a and GmARF8b is required for soybean nodulation and lateral root development. Plant physiology 168, 984-999."
GmmiR172c,n/a,Nod+/-,n/a,"Wang et al., 2014",Gene regulation,micro RNA 172c (miR172c),,STTM,mtr-miR172c,-,Lj0g3v0103199,"Glyma.11G195600, Glyma.12G078700",Phvul.005G132300,n/a,Targets NNC1,"Wang, Y., Wang, L., Zou, Y., Chen, L., Cai, Z., Zhang, S., Zhao, F., Tian, Y., Jiang, Q., and Ferguson, B.J. (2014). Soybean miR172c targets the repressive AP2 transcription factor NNC1 to activate ENOD40 expression and regulate nodule initiation. The Plant Cell 26, 4782-4801."
MtMMPL,Inf*,Nod++,n/a,"Combier et al., 2007",Enzyme (Metalloprotease),MATRIX METALLOENDOPROTEINASE LIKE (MMPL),,RNAi,Medtr5g036087,Mtr.26937.1.S1_at,-,Glyma.02G028700,-,n/a,,"Combier, J.-P., Vernié, T., de Billy, F., El Yahyaoui, F., Mathis, R., and Gamas, P. (2007). The MtMMPL1 early nodulin is a novel member of the matrix metalloendoproteinase family with a role in Medicago truncatula infection by Sinorhizobium meliloti. Plant physiology 144, 703-716."
MtMOT1.2,n/a,Nod*,Fix+/-,"Gil-Diez et al., 2018",Transporter (Molybdate),MOLYBDATE TRANSPORTER TYPE 1.2,,Tnt1,Medtr1g010270,Mtr.31641.1.S1_at,Lj3g3v0819900,Glyma.17G203500,Phvul.001G056100,n/a,,"Gil‐Díez, P., Tejada‐Jiménez, M., León‐Mediavilla, J., Wen, J., Mysore, K.S., Imperial, J., and González‐Guerrero, M. (2019). MtMOT1. 2 is responsible for molybdate supply to Medicago truncatula nodules. Plant, Cell & Environment 42, 310-320."
MtMOT1.3,n/a,Nod*,Fix+/-,"Tejada‐Jiménez et al., 2017",Transporter (Molybdate),MOLYBDATE TRANSPORTER TYPE 1.3,,Tnt1,Medtr3g464210,Mtr.39427.1.S1_at,Lj3g3v0821100,Glyma.14G130000,Phvul.001G056300,n/a,,"Tejada‐Jiménez, M., Gil‐Díez, P., León‐Mediavilla, J., Wen, J., Mysore, K.S., Imperial, J., and González‐Guerrero, M. (2017). Medicago truncatula Molybdate Transporter type 1 (MtMOT1. 3) is a plasma membrane molybdenum transporter required for nitrogenase activity in root nodules under molybdenum deficiency. New Phytologist 216, 1223-1235."
MtMTP2,n/a,Nod*,Fix+/-,"León-Mediavilla et al., 2018",Transporter (Zinc efflux),METAL TOLERANCE PROTEIN 2 (MTP2),,Tnt1,Medtr4g064893,-,Lj3g3v3236540,Glyma.11G135500,Phvul.011G061200,n/a,,"León-Mediavilla, J., Senovilla, M., Montiel, J., Gil-Díez, P., Saez, Á., Kryvoruchko, I.S., Reguera, M., Udvardi, M.K., Imperial, J., and González-Guerrero, M. (2018). MtMTP2-facilitated zinc transport into intracellular compartments is essential for nodule development in Medicago truncatula. Frontiers in Plant Science 9, 990."
LjMPK6,n/a,Nod+/-,n/a,"Yin et al., 2016",Enzyme (Kinase),MAP KINASE 6 (MPK6),,RNAi,Medtr4g087620,Msa.3031.1.S1_at, Lj4g3v0510090,Glyma.07G206200,Phvul.003G059500,n/a,,"Yin, J., Guan, X., Zhang, H., Wang, L., Li, H., Zhang, Q., Chen, T., Xu, Z., Hong, Z., Cao, Y., and Zhang, Z. (2019). An MAP kinase interacts with LHK1 and regulates nodule organogenesis in Lotus japonicus. Sci China Life Sci."
MtN5,Inf*,Nod+/-,n/a,"Pii et al., 2012",Peptide (Cysteine-rich; nsLTP family),NODULIN 5 (N5),,RNAi,Medtr5g094210,-,-,Glyma.18G191800,Phvul.008G112900,n/a,,"Pii, Y., Molesini, B., Masiero, S., and Pandolfini, T. (2012). The non-specific lipid transfer protein N5 of Medicago truncatula is implicated in epidermal stages of rhizobium-host interaction. BMC plant biology 12, 233."
MtNAC969,n/a,Nod+,Fix*,"De Zélicourt et al., 2012",TF (NAC Domain),NAM/ATAF/CUC-encoding 969 (NAC969),,RNAi,Medtr4g081870,Mtr.19019.1.S1_at,Lj2g3v1277610,Glyma.07G229100,Phvul.003G045600,n/a,,"de Zelicourt, A., Diet, A., Marion, J., Laffont, C., Ariel, F., Moison, M., Zahaf, O., Crespi, M., Gruber, V., and Frugier, F. (2012). Dual involvement of a Medicago truncatula NAC transcription factor in root abiotic stress response and symbiotic nodule senescence. Plant J 70, 220-230."
MtNAD1,n/a,"Nod*, Nod+/-","Fix-, Fix*","Wang et al., 2016",Unknown (TM domain containing),NODULE WITH ACTIVATED DEFENSE 1 (NAD1),,Tnt1,Medtr7g022640,-,"LjT38B21, TM1912 range: 59181-59540",Glyma.02G096200,Phvul.008G016300,n/a,,"Wang, C., Yu, H., Luo, L., Duan, L., Cai, L., He, X., Wen, J., Mysore, K.S., Li, G., and Xiao, A. (2016). NODULES WITH ACTIVATED DEFENSE 1 is required for maintenance of rhizobial endosymbiosis in Medicago truncatula. New Phytologist 212, 176-191."
LjNAP1,Inf+/-,"Nod+/-, White++",Fix-,"Yokota et al., 2010",SCAR/WAVE complex component,Nck-ASSOCIATED LIKE PROTEIN 1 (NAP1),"Mtrit1 (required for Infection thread), LjSym40",(Medicago)Fast Neutron mutagenesis,Medtr4g084140,Mtr.19419.1.S1_s_at,Lj4g3v0654410,Glyma.20G019300,Phvul.002G097500,n/a,,"Yokota, K., Fukai, E., Madsen, L.H., Jurkiewicz, A., Rueda, P., Radutoiu, S., Held, M., Hossain, M.S., Szczyglowski, K., and Morieri, G. (2009). Rearrangement of actin cytoskeleton mediates invasion of Lotus japonicus roots by Mesorhizobium loti. The Plant Cell 21, 267-284."
LjNDX1/LjNDX2,n/a,"Nod++, Nod*",Fix*,"Grønlund et al., 2003",TF (Homeodomain containing),NODULIN HOMEOBOX (NDX1/NDX2),,Antisense,"Medtr4g063030, Medtr2g096290",,"Lj3g3v3154040, ",Glyma.15G042000,Phvul.005G140400,n/a,,"Grønlund, M., Gustafsen, C., Roussis, A., Jensen, D., Nielsen, L.P., Marcker, K.A., and Jensen, E.Ø. (2003). The Lotus japonicus ndx gene family is involved in nodule function and maintenance. Plant molecular biology 52, 303-316."
LjNENA,Inf-,Nod+/-,n/a,"Groth et al., 2010",Nuclear-pore scaffold complex subunit,NENA,,EMS TILLING,Medtr6g072020,Mtr.31569.1.S1_at,Lj2g3v2088070,Glyma.11G018300,Phvul.002G163300,Myc-,,"Groth, M., Takeda, N., Perry, J., Uchida, H., Dräxl, S., Brachmann, A., Sato, S., Tabata, S., Kawaguchi, M., and Wang, T.L. (2010). NENA, a Lotus japonicus homolog of Sec13, is required for rhizodermal infection by arbuscular mycorrhiza fungi and rhizobia but dispensable for cortical endosymbiotic development. The Plant Cell 22, 2509-2526."
LjNFH1,Inf+/-,"Nod+/-, Nod*",Fix++,"Cai et al., 2018",Enzyme (Glycosylhydrolase),NOD FACTOR HYDROLASE 1 (NFH1),,Tnt1,Medtr4g116990,Mtr.39553.1.S1_at,-,Glyma.13G155800,Phvul.003G158800,n/a,,"Cai, J., Zhang, L.-Y., Liu, W., Tian, Y., Xiong, J.-S., Wang, Y.-H., Li, R.-J., Li, H.-M., Wen, J., and Mysore, K.S. (2018). Role of the Nod factor hydrolase MtNFH1 in regulating Nod factor levels during rhizobial infection and in mature nodules of Medicago truncatula. The Plant Cell 30, 397-414."
LjNFR5,Inf-,Nod-,n/a,"Madsen et al., 2003",Enzyme (Kinase; LysM-RLK),NOD FACTOR RECEPTOR (NFR5),"nfp (nod factor perception), Ljsym5, Pssym10",T-DNA,Medtr5g019040,Mtr.15789.1.S1_at,Lj2g3v1828350.1,Glyma.11G063100,Phvul.002G025500,Myc+,,"Madsen, E.B., Madsen, L.H., Radutoiu, S., Olbryt, M., Rakwalska, M., Szczyglowski, K., Sato, S., Kaneko, T., Tabata, S., and Sandal, N. (2003). A receptor kinase gene of the LysM type is involved in legumeperception of rhizobial signals. Nature 425, 637."
LjNFRe,Inf+,Nod+/-,n/a,"Murakami et al., 2018",Enzyme (Kinase; LysM-RLK),NOD FACTOR signaling in the EPIDERMIS (NFRe),Ljlys1,LORE1,Medtr5g086040,Mtr.15753.1.S1_s_at,Lj2g3v2904610,"Glyma.20G054500, Glyma.02G270700",Phvul.008G211200,n/a,,"Murakami, E., Cheng, J., Gysel, K., Bozsoki, Z., Kawaharada, Y., Hjuler, C.T., Sørensen, K.K., Tao, K., Kelly, S., and Genre, A. (2018). Epidermal LysM receptor ensures robust symbiotic signalling in Lotus japonicus. Elife 7, e33506."
MtNFS1,n/a,n/a,Fix++ (C),"Yang et al., 2017",Peptide (Cysteine-rich; NCR Family),Nitrogen FixationSPECIFICITY 1 (NFS1),,CRISPR-Cas9,Medtr8g073380,-,-,-,-,n/a,,"Yang, S., Wang, Q., Fedorova, E., Liu, J., Qin, Q., Zheng, Q., Price, P.A., Pan, H., Wang, D., and Griffitts, J.S. (2017). Microsymbiont discrimination mediated by a host-secreted peptide in Medicago truncatula. Proceedings of the National Academy of Sciences 114, 6848-6853."
MtNFS2,n/a,n/a,Fix++ (C),"Wang et al., 2017",Peptide (Cysteine-rich; NCR Family),Nitrogen FixationSPECIFICITY 2 (NFS2),,CRISPR-Cas9,Medtr8g465280,-,-,-,-,n/a,,"Wang, Q., Yang, S., Liu, J., Terecskei, K., Ábrahám, E., Gombár, A., Domonkos, Á., Szűcs, A., Körmöczi, P., and Wang, T. (2017). Host-secreted antimicrobial peptide enforces symbiotic selectivity in Medicago truncatula. Proceedings of the National Academy of Sciences 114, 6854-6859."
MtNF-YA1,Inf*,"Nod+/-, Nod*",Fix+/-,"Combier et al., 2006",TF (CCAAT box-binding),NUCLEAR FACTOR YA1,hap2.1 (heme activator protein 2.1),"RNAi, EMS",Medtr1g056530,Mtr.43750.1.S1_at,Lj5g3v0841080,Glyma.02G195000,Phvul.001G196800,n/a,,"Combier, J.-P., Frugier, F., De Billy, F., Boualem, A., El-Yahyaoui, F., Moreau, S., Vernié, T., Ott, T., Gamas, P., and Crespi, M. (2006). MtHAP2-1 is a key transcriptional regulator of symbiotic nodule development regulated by microRNA169 in Medicago truncatula. Genes & development 20, 3084-3088."
PvNF-YC1,Inf+/-,"Nod+/-, Nod*",n/a,"Zanetti et al., 2010",TF (CCAAT box-binding),NUCLEAR FACTOR YC1,,RNAi,Medtr7g113680,Mtr.48660.1.S1_at,Lj1g3v4931770,Glyma.03G239400,Phvul.006G093200,n/a,,"Zanetti, M.E., Blanco, F.A., Beker, M.P., Battaglia, M., and Aguilar, O.M. (2010). AC subunit of the plant nuclear factor NF-Y required for rhizobial infection and nodule development affects partner selection in the common bean–Rhizobium etli symbiosis. The Plant Cell 22, 4142-4157."
LjNiCK4,inf+,Nod+/-,n/a,"Wong et al., 2019",receptor-like cytoplasmic kinase (RLCK),NFR5-interacting cytoplasmic kinase 4 (NiCK4),,LORE1,Medtr8g463990,Mtr.41857.1.S1_at,Lj3g3v0428460,"Glyma.06G230800, Glyma.12G160500",-,n/a,,"Wong, J. E. M. M., Nadzieja, M., Madsen, L. H., Bucherl, C. A., Dam, S., Sandal, N. N., Couto, D., Derbyshire, P., Uldum-Berentsen, M., Schroeder, S., Schwammle, V., Nogueira, F. C. S., et al.,  (2019). A Lotus japonicus cytoplasmic kinase connects Nod factor perception by the NFR5 LysM receptor to nodulation. Proc Natl Acad Sci U S A. 116:14339-14348."
LjNIN,Inf++,Nod*,Fix-,"Schauser et al., 1999",TF (RWP-RK domain containing),NODULE INCEPTION (NIN),Pssym35,Ac Transposon,Medtr5g099060,Mtr.28094.1.S1_at,Lj2g3v3373110,Glyma.04G000600,Phvul.008G291800,Myc+/-,,"Schauser, L., Roussis, A., Stiller, J., and Stougaard, J. (1999). A plant regulator controlling development of symbiotic root nodules. Nature 402, 191."
MtNIP/MtLATD/MtNPF1.7,"Inf++, Inf*","Nod+/-, Nod*",Fix*,"Bagchi et al., 2012",Transporter (Nitrate),NUMEROUS InfectionS AND POLYPHENOLICS/LATERAL ROOT-ORGAN DEFECTIVE (NIP/LATD),,EMS,Medtr1g009200,Mtr.2385.1.S1_at,Lj6g3v1966960,"Glyma.17G189300, Glyma.17G194600",Phvul.002G242200,n/a,,"Bagchi, R., Salehin, M., Adeyemo, O.S., Salazar, C., Shulaev, V., Sherrier, D.J., and Dickstein, R. (2012). Functional assessment of the Medicago truncatula NIP/LATD protein demonstrates that it is a high-affinity nitrate transporter. Plant physiology 160, 906-916."
MtNLP1,Inf++ (C),Nod++ (C),Fix++ (C),"Lin et al., 2018",TF (RWP-RK domain containing),NIN LIKE PROTEIN (NLP1),,"Tnt1, RNAi",Medtr3g115400,Mtr.41967.1.S1_at,Lj1g3v2295200,Glyma.04G017400,Phvul.005G155100,n/a,,"Lin, J.-s., Li, X., Luo, Z.L., Mysore, K.S., Wen, J., and Xie, F. (2018). NIN interacts with NLPs to mediate nitrate inhibition of nodulation in Medicago truncatula. Nature plants 4, 942."
GmNMNa,n/a,Nod+/-,Fix*,"Libault et al., 2011",Unknown,NUCLEOLAR/MITOCHONDRIAL PROTEIN INVOLVED IN NODULATION (NMN),,RNAi,Medtr5g005290,Mtr.26415.1.S1_at,-,Glyma.01G241900,-,n/a,,"Libault, M., Govindarajulu, M., Berg, R.H., Ong, Y.T., Puricelli, K., Taylor, C.G., Xu, D., and Stacey, G. (2011). A Dual-Targeted Soybean Protein Is Involved in Bradyrhizobium japonicum Infection of Soybean Root Hair and Cortical Cells. Molecular Plant-Microbe Interactions 24, 1051-1060."
GmNNC1,n/a,"Nod++, Nod*",n/a,"Wang et al., 2014",TF (AP2 domain containing),NODULE NUMBER CONTROL 1 (NNC1),,RNAi,Medtr4g061200,Mtr.11685.1.S1_s_at,Lj0g3v0037529,Glyma.12G073300,Phvul.011G071100,n/a,,"Wang, Y., Wang, L., Zou, Y., Chen, L., Cai, Z., Zhang, S., Zhao, F., Tian, Y., Jiang, Q., and Ferguson, B.J. (2014). Soybean miR172c targets the repressive AP2 transcription factor NNC1 to activate ENOD40 expression and regulate nodule initiation. The Plant Cell 26, 4782-4801."
pvNod22,"Inf+/-, Inf*","Nod++, Nod*",Fix+/-,"Rodriguez-Lopez et al., 2019",small heat shock protein,nodulin 22 in common bean,,RNAi,Medtr1g103570, Mtr.10016.1.S1_at,Lj5g3v2045960,Glyma.20G147400,Phvul.007G058000,n/a,,"Rodriguez-Lopez, J., Lopez, A. H., Estrada-Navarrete, G., Sanchez, F., Diaz-Camino, C. (2019) The Noncanonical Heat Shock Protein PvNod22 Is Essential for Infection Thread Progression During Rhizobial Endosymbiosis in Common Bean. Mol Plant Microbe Interact. 32:939-948. "
MtNOOT,Inf+,"Nod+/-, Nod*",Fix+,"Couzigou et al., 2012",TF (BLADE-ON-PETIOLE family),NODULE ROOT (NOOT),Lotus japonicus NOOT‐BOP‐COCH‐LIKE1,Tnt1,Medtr7g090020,Mtr.19586.1.S1_at,Lj4g3v1200890.1,Glyma.02G188700,Phvul.001G124100,n/a,,"Couzigou, J.-M., Zhukov, V., Mondy, S., el Heba, G.A., Cosson, V., Ellis, T.N., Ambrose, M., Wen, J., Tadege, M., and Tikhonovich, I. (2012). NODULE ROOT and COCHLEATA maintain nodule development and are legume orthologs of Arabidopsis BLADE-ON-PETIOLE genes. The Plant Cell 24, 4498-4510."
MtNPD1/MtNPD2/MtNPD3/MtNPD4/MtNPD5,n/a,"Nod*, White++",Fix*,"Trujillo et al., 2019",Membrane protein (PLAT domain containing),NODULE-SPECIFIC PLAT DOMAIN PROTEIN 2 (NPD 1/2/3/4/5),,CRISPR-Cas9,"Medtr2g103303, Medtr2g103307, Medtr2g103313, Medtr2g103330, Medtr2g103360",,"Lj1g3v4657800, Lj0g3v0361939","Glyma.15G008800, Glyma.13G364800",Phvul.005G177100,n/a,,"Trujillo, D.I., Silverstein, K.A.T., and Young, N.D. (2019). Nodule-specific PLAT domain proteins are expanded in the Medicago lineage and required for nodulation. New Phytol."
LjNPF8.6,Nod+,Fix+/-,n/a,"Valkov et al., 2017",Transporter (Nitrate),NRT1/PTR Family (NPF8.6),,LORE1,Medtr3g462710,Mtr.27765.1.S1_at,Lj3g3v2681670,"Glyma.11G176800, Glyma.18G064900",Phvul.006G065900,n/a,,"Valkov, V.T., Rogato, A., Alves, L.M., Sol, S., Noguero, M., Léran, S., Lacombe, B., and Chiurazzi, M. (2017). The nitrate transporter family protein LjNPF8. 6 controls the N-fixing nodule activity. Plant physiology 175, 1269-1282."
LjNPL,"Inf+/-, Inf*","Nod+/-, Nod*, White++",n/a,"Xie et al., 2012",Enzyme (Lyase),NODULE PECTATE LYASE (NPL),,EMS,Medtr3g086320,Mtr.26489.1.S1_at,Lj0g3v0306419,"Glyma.18G012200, Glyma.11G244800",Phvul.001G256800,n/a,,"Xie, F., Murray, J.D., Kim, J., Heckmann, A.B., Edwards, A., Oldroyd, G.E., and Downie, J.A. (2012). Legume pectate lyase required for root infection by rhizobia. Proc Natl Acad Sci U S A 109, 633-638."
MtNRAMP,n/a,Nod+/-,Fix+/-,"Tejada-Jiménez et al., 2015",Transporter (Putative Iron),Natural Resistance-Associated Macrophage Protein1 (NRamp1),,Tnt1,Medtr3g088460,Msa.2831.1.S1_at,Lj1g3v0862950,Glyma.06G115800,Phvul.009G127900,n/a,,"Tejada-Jiménez, M., Castro-Rodríguez, R., Kryvoruchko, I., Lucas, M.M., Udvardi, M., Imperial, J., and González-Guerrero, M. (2015b). Medicago truncatula natural resistance-associated macrophage protein1 is required for iron uptake by rhizobia-infected nodule cells. Plant physiology 168, 258-272."
