locus_tag	ftype	length_bp	gene	EC_number	COG	product
WSM1022_03232	CDS	3459	pycA	6.4.1.1		Pyruvate carboxylase
WSM1022_03233	CDS	741	rpaR_2		COG2771	HTH-type quorum sensing-dependent transcriptional regulator RpaR
WSM1022_03234	CDS	1758	ndvA	7.5.2.3	COG1132	Beta-(1-->2)glucan export ATP-binding/permease protein NdvA
WSM1022_03235	CDS	1113				hypothetical protein
WSM1022_03236	CDS	1158				hypothetical protein
WSM1022_03237	CDS	8613	ndvB	2.4.1.-	COG3459	Cyclic beta-(1,2)-glucan synthase NdvB
WSM1022_03238	CDS	894	gcvA_5			Glycine cleavage system transcriptional activator
WSM1022_03239	CDS	1401			COG5383	putative protein
WSM1022_03240	CDS	1422	dld	1.1.5.12		Quinone-dependent D-lactate dehydrogenase
WSM1022_03241	CDS	1533	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
WSM1022_03242	CDS	1233	aatB	2.6.1.1	COG0436	Aspartate aminotransferase
WSM1022_03243	CDS	1164			COG3385	IS4 family transposase ISRm16
WSM1022_03244	CDS	549	puuR			HTH-type transcriptional regulator PuuR
WSM1022_03245	CDS	1338	bauA_2	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
WSM1022_03246	CDS	1368	ttuD_1	1.1.1.81		Putative hydroxypyruvate reductase
WSM1022_03247	CDS	1656	alkJ_3	1.1.99.-		Alcohol dehydrogenase [acceptor]
WSM1022_03248	CDS	774	fabG_7	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
WSM1022_03249	CDS	1509	livQ	1.1.3.-		6'''-hydroxyparomomycin C oxidase
WSM1022_03250	CDS	1113	ugpC_6	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
WSM1022_03251	CDS	882	ngcG_4		COG0395	Diacetylchitobiose uptake system permease protein NgcG
WSM1022_03252	CDS	879	melD_4		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
WSM1022_03253	CDS	1245				putative sugar-binding periplasmic protein
WSM1022_03254	CDS	1509	betB_2	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
WSM1022_03255	CDS	780	crt_2	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
WSM1022_03256	CDS	1623	carA_2	2.8.3.23	COG4670	Caffeate CoA-transferase
WSM1022_03257	CDS	1002	afr_1	1.1.1.292		1,5-anhydro-D-fructose reductase
WSM1022_03258	CDS	1044	ccpA_1		COG1609	Catabolite control protein A
WSM1022_03259	CDS	1170				hypothetical protein
WSM1022_03260	CDS	2064	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
WSM1022_03261	CDS	642				hypothetical protein
WSM1022_03262	CDS	1113	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
WSM1022_03263	CDS	708				hypothetical protein
WSM1022_03264	CDS	1890	nanT_1			Sialic acid transporter NanT
WSM1022_03265	CDS	267				hypothetical protein
WSM1022_03266	CDS	1035	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
WSM1022_03267	CDS	822				hypothetical protein
WSM1022_03268	CDS	684	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
WSM1022_03269	CDS	882	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
WSM1022_03270	CDS	4788	gdh_5	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
WSM1022_03271	CDS	1392				hypothetical protein
WSM1022_03272	CDS	1611	purH		COG0138	Bifunctional purine biosynthesis protein PurH
WSM1022_03273	CDS	1686	fzlC			FtsZ-localized protein C
WSM1022_03274	CDS	1413	rsmB_2	2.1.1.176		Ribosomal RNA small subunit methyltransferase B
WSM1022_03275	CDS	960	htpX	3.4.24.-	COG0501	Protease HtpX 
WSM1022_03276	CDS	255				hypothetical protein
WSM1022_03277	CDS	1950	acsA_3	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
WSM1022_03278	CDS	699				hypothetical protein
WSM1022_03279	CDS	1908	acsA_4	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
WSM1022_03280	CDS	660			COG0325	Pyridoxal phosphate homeostasis protein
WSM1022_03281	CDS	2631	leuS	6.1.1.4		Leucine--tRNA ligase
WSM1022_03282	CDS	546				hypothetical protein
WSM1022_03283	CDS	1032				hypothetical protein
WSM1022_03284	CDS	891	parB			Chromosome-partitioning protein ParB
WSM1022_03285	CDS	795	parA			Chromosome partitioning protein ParA
WSM1022_03286	CDS	642	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
WSM1022_03287	CDS	1872	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
WSM1022_03288	CDS	1320	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
WSM1022_03289	CDS	1266	rho	3.6.4.-	COG1158	Transcription termination factor Rho
WSM1022_03290	CDS	543				hypothetical protein
WSM1022_03291	CDS	1032	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
WSM1022_03292	CDS	822	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
WSM1022_03293	CDS	600	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
WSM1022_03294	CDS	861	aroE_2	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
WSM1022_03295	CDS	585	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
WSM1022_03296	CDS	729	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
WSM1022_03297	CDS	552	secB			Protein-export protein SecB
WSM1022_03298	CDS	582				hypothetical protein
WSM1022_03299	CDS	702				hypothetical protein
WSM1022_03300	CDS	1119				hypothetical protein
WSM1022_03301	CDS	567				hypothetical protein
WSM1022_03302	CDS	378				hypothetical protein
WSM1022_03303	CDS	2436	gyrB_2	5.6.2.2		DNA gyrase subunit B
WSM1022_03304	CDS	597	rutE	1.1.1.298		malonic semialdehyde reductase RutE
WSM1022_03305	CDS	1455	davD_2	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
WSM1022_03306	CDS	801	hpcH	4.1.2.52	COG3836	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
WSM1022_03307	CDS	879	lgoR		COG1802	putative HTH-type transcriptional regulator LgoR
WSM1022_03308	CDS	1536	uxaA	4.2.1.7	COG2721	Altronate dehydratase
WSM1022_03309	CDS	1020	pld1	1.1.1.107		Pyridoxal 4-dehydrogenase
WSM1022_03310	CDS	990	rbsB_3		COG1879	Ribose import binding protein RbsB
WSM1022_03311	CDS	1554	rbsA_4	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
WSM1022_03312	CDS	975	rbsC_6		COG1172	Ribose import permease protein RbsC
WSM1022_03313	CDS	1017	lgoD_1	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
WSM1022_03314	CDS	1275				hypothetical protein
WSM1022_03315	CDS	426				hypothetical protein
WSM1022_03316	CDS	636				hypothetical protein
WSM1022_03317	CDS	648	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
WSM1022_03318	CDS	1221	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
WSM1022_03319	CDS	840	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
WSM1022_03320	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
WSM1022_03321	CDS	1344	fpgS	6.3.2.17		Folylpolyglutamate synthase
WSM1022_03322	CDS	243				hypothetical protein
WSM1022_03323	CDS	1164			COG3385	IS4 family transposase ISRm16
WSM1022_03324	CDS	324				Thioredoxin C-1
WSM1022_03325	CDS	3570	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
WSM1022_03326	CDS	3180				hypothetical protein
WSM1022_03327	CDS	732	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
WSM1022_03328	CDS	1515				hypothetical protein
WSM1022_03329	CDS	2481	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
WSM1022_03330	CDS	1401	ahcY	3.3.1.1		Adenosylhomocysteinase
WSM1022_03331	CDS	294				hypothetical protein
WSM1022_03332	CDS	402				hypothetical protein
WSM1022_03333	CDS	447	hprK	2.7.4.-		HPr kinase/phosphorylase
WSM1022_03334	CDS	1791	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
WSM1022_03335	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
WSM1022_03336	CDS	1611	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
WSM1022_03337	CDS	435	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
WSM1022_03338	CDS	474	kbp		COG1652	Potassium binding protein Kbp
WSM1022_03339	CDS	612	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
WSM1022_03340	CDS	165				hypothetical protein
WSM1022_03341	CDS	1179				IS110 family transposase ISRel9
WSM1022_03342	CDS	996	coaA_2	2.7.1.33		Pantothenate kinase
WSM1022_03343	CDS	324	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
WSM1022_03344	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
WSM1022_03345	CDS	744	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
WSM1022_03346	CDS	651	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
WSM1022_03347	CDS	474				hypothetical protein
WSM1022_03348	CDS	609	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
WSM1022_03349	CDS	558	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
WSM1022_03350	CDS	522	aacA4_1	2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
WSM1022_03351	CDS	1308	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
WSM1022_03352	CDS	951				hypothetical protein
WSM1022_03353	CDS	1401		1.14.-.-		Putative cytochrome P450 132
WSM1022_03354	CDS	2007				hypothetical protein
WSM1022_03355	CDS	2172	glcB	2.3.3.9	COG2225	Malate synthase G
WSM1022_03356	CDS	675				hypothetical protein
WSM1022_03357	CDS	525				hypothetical protein
WSM1022_03358	CDS	585	regA		COG4567	Photosynthetic apparatus regulatory protein RegA
WSM1022_03359	CDS	1302	regB	2.7.13.3		Sensor histidine kinase RegB
WSM1022_03360	CDS	2463	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
WSM1022_03361	CDS	684	thiQ_2	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
WSM1022_03362	CDS	1689				hypothetical protein
WSM1022_03363	CDS	1227	ynjB		COG4134	Protein YnjB
WSM1022_03364	rRNA	1482				16S ribosomal RNA
WSM1022_03365	tRNA	77				tRNA-Ile(gat)
WSM1022_03366	tRNA	76				tRNA-Ala(tgc)
WSM1022_03367	CDS	159				hypothetical protein
WSM1022_03368	rRNA	2800				23S ribosomal RNA
WSM1022_03369	rRNA	108				5S ribosomal RNA
WSM1022_03370	tRNA	77				tRNA-Met(cat)
WSM1022_03371	CDS	1311				hypothetical protein
WSM1022_03372	CDS	540				hypothetical protein
WSM1022_03373	CDS	594				hypothetical protein
WSM1022_03374	CDS	633				hypothetical protein
WSM1022_03375	CDS	669				hypothetical protein
WSM1022_03376	CDS	1167	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
WSM1022_03377	CDS	852	hdfR_6			HTH-type transcriptional regulator HdfR
WSM1022_03378	CDS	363				hypothetical protein
WSM1022_03379	CDS	1149				hypothetical protein
WSM1022_03380	CDS	1635				hypothetical protein
WSM1022_03381	CDS	921	folD_2		COG0190	Bifunctional protein FolD protein
WSM1022_03382	CDS	534				hypothetical protein
WSM1022_03383	CDS	2964	soxA_3	1.5.3.1		Sarcosine oxidase subunit alpha
WSM1022_03384	CDS	279	soxD_2	1.5.3.1		Sarcosine oxidase subunit delta
WSM1022_03385	CDS	1293	soxB_2	1.5.3.1		Sarcosine oxidase subunit beta
WSM1022_03386	CDS	975	cdhR_4		COG4977	HTH-type transcriptional regulator CdhR
WSM1022_03387	CDS	906	purF_2	2.4.2.14		Amidophosphoribosyltransferase
WSM1022_03388	CDS	687				hypothetical protein
WSM1022_03389	CDS	1329	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
WSM1022_03390	CDS	1308	glnT	6.3.1.2	COG0174	Glutamine synthetase
WSM1022_03391	CDS	264				hypothetical protein
WSM1022_03392	CDS	759				hypothetical protein
WSM1022_03393	CDS	1398	yhdG		COG0531	putative amino acid permease YhdG
WSM1022_03394	CDS	162				hypothetical protein
WSM1022_03395	CDS	384				hypothetical protein
WSM1022_03396	CDS	318				hypothetical protein
WSM1022_03397	CDS	732				hypothetical protein
WSM1022_03398	CDS	891	purU_2	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
WSM1022_03399	CDS	1134	gcvT_2	2.1.2.10	COG0404	Aminomethyltransferase
WSM1022_03400	CDS	606				hypothetical protein
WSM1022_03401	CDS	966	cntB	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
WSM1022_03402	CDS	1041				hypothetical protein
WSM1022_03403	CDS	1338				hypothetical protein
WSM1022_03404	CDS	2370	gcvT_3	2.1.2.10		Aminomethyltransferase
WSM1022_03405	CDS	1785				hypothetical protein
WSM1022_03406	CDS	2454	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
WSM1022_03407	CDS	786	udh	1.1.1.203	COG0451	Uronate dehydrogenase
WSM1022_03408	CDS	1725		4.2.1.162		6-deoxy-6-sulfo-D-gluconate dehydratase
WSM1022_03409	CDS	723	lutR_2		COG2186	HTH-type transcriptional regulator LutR
WSM1022_03410	CDS	984		3.1.1.99		6-deoxy-6-sulfogluconolactonase
WSM1022_03411	CDS	642				hypothetical protein
WSM1022_03412	CDS	1083	malK_4	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
WSM1022_03413	CDS	1074	apsD_1	1.1.1.-		D-apiose dehydrogenase
WSM1022_03414	CDS	1017				hypothetical protein
WSM1022_03415	CDS	888	ngcG_5		COG0395	Diacetylchitobiose uptake system permease protein NgcG
WSM1022_03416	CDS	948	lacF_3			Lactose transport system permease protein LacF
WSM1022_03417	CDS	1284	yesO_1		COG1653	Putative ABC transporter substrate-binding protein YesO
WSM1022_03418	CDS	678	nicS_1			HTH-type transcriptional repressor NicS
WSM1022_03419	CDS	1149	xdh	1.1.1.179		D-xylose dehydrogenase
WSM1022_03420	CDS	1164				hypothetical protein
WSM1022_03421	CDS	1416				hypothetical protein
WSM1022_03422	CDS	825				hypothetical protein
WSM1022_03423	CDS	1290	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
WSM1022_03424	CDS	2232	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
WSM1022_03425	CDS	1536	mglA_3	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
WSM1022_03426	CDS	1134	rfuC_1		COG4603	putative riboflavin import permease protein RfuC
WSM1022_03427	CDS	972	rfuD_2		COG1079	putative riboflavin import permease protein RfuD
WSM1022_03428	CDS	459	cdd	3.5.4.5	COG0295	Cytidine deaminase
WSM1022_03429	CDS	798	punA	2.4.2.1		Purine nucleoside phosphorylase 1
WSM1022_03430	CDS	1323	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
WSM1022_03431	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
WSM1022_03432	CDS	975	add	3.5.4.46	COG1816	Cyclic adenylate deaminase
WSM1022_03433	CDS	1221	deoB	5.4.2.7	COG1015	Phosphopentomutase
WSM1022_03434	CDS	585				hypothetical protein
WSM1022_03435	CDS	615				hypothetical protein
WSM1022_03436	CDS	417				hypothetical protein
WSM1022_03437	CDS	192				hypothetical protein
WSM1022_03438	CDS	513				hypothetical protein
WSM1022_03439	CDS	810				hypothetical protein
WSM1022_03440	CDS	1536	sctC_1			Type 3 secretion system secretin
WSM1022_03441	CDS	681				hypothetical protein
WSM1022_03442	CDS	1287				hypothetical protein
WSM1022_03443	CDS	1470				hypothetical protein
WSM1022_03444	CDS	1011				hypothetical protein
WSM1022_03445	CDS	984				hypothetical protein
WSM1022_03446	CDS	1179				IS110 family transposase ISRel9
WSM1022_03447	CDS	810	bepA_5	3.4.-.-		Beta-barrel assembly-enhancing protease
WSM1022_03448	CDS	1392	pepA_2	3.4.11.10		cytosol aminopeptidase
WSM1022_03449	CDS	345				hypothetical protein
WSM1022_03450	CDS	855				hypothetical protein
WSM1022_03451	CDS	960	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
WSM1022_03452	CDS	1629	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
WSM1022_03453	CDS	1134	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
WSM1022_03454	CDS	1083	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
WSM1022_03455	CDS	1860	appA			Oligopeptide-binding protein AppA
WSM1022_03456	CDS	1068	mepA	3.4.24.-		Penicillin-insensitive murein endopeptidase
WSM1022_03457	CDS	381	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
WSM1022_03458	CDS	1020	glk	2.7.1.2	COG0837	Glucokinase
WSM1022_03459	CDS	1851	msbA_2	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
WSM1022_03460	CDS	819	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
WSM1022_03461	CDS	636	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
WSM1022_03462	CDS	873	ogt_1	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
WSM1022_03463	CDS	498				hypothetical protein
WSM1022_03464	CDS	792	nth	4.2.99.18		Endonuclease III
WSM1022_03465	CDS	594				hypothetical protein
WSM1022_03466	CDS	426				hypothetical protein
WSM1022_03467	CDS	993	ydjH_1	2.7.1.-	COG0524	putative sugar kinase YdjH
WSM1022_03468	CDS	516				hypothetical protein
WSM1022_03469	CDS	540				hypothetical protein
WSM1022_03470	CDS	1005		1.1.1.29		Glycerate dehydrogenase
WSM1022_03471	CDS	3015	polA	2.7.7.7	COG0258	DNA polymerase I
WSM1022_03472	CDS	444				hypothetical protein
WSM1022_03473	CDS	1395	dapE_2	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
WSM1022_03474	CDS	948				hypothetical protein
WSM1022_03475	CDS	492				hypothetical protein
WSM1022_03476	CDS	924	ribN_3			Riboflavin transporter
WSM1022_03477	CDS	2262	mtgA_3	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
WSM1022_03478	CDS	1926	dnaK_2		COG0443	Chaperone protein DnaK
WSM1022_03479	CDS	1140	dnaJ_3		COG0484	Chaperone protein DnaJ
WSM1022_03480	CDS	834				hypothetical protein
WSM1022_03481	CDS	636				hypothetical protein
WSM1022_03482	CDS	1005				hypothetical protein
WSM1022_03483	CDS	645				hypothetical protein
WSM1022_03484	CDS	1125	recF		COG1195	DNA replication and repair protein RecF
WSM1022_03485	CDS	765	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
WSM1022_03486	CDS	471				hypothetical protein
WSM1022_03487	CDS	651	bepR			HTH-type transcriptional repressor BepR
WSM1022_03488	CDS	3147	acrB		COG0841	Multidrug efflux pump subunit AcrB
WSM1022_03489	CDS	1212	srpA			Solvent efflux pump periplasmic linker SrpA
WSM1022_03490	CDS	1011	malK_5	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
WSM1022_03491	CDS	1065	iolG_7	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
WSM1022_03492	CDS	840	ngcG_6		COG0395	Diacetylchitobiose uptake system permease protein NgcG
WSM1022_03493	CDS	948	lacF_4			Lactose transport system permease protein LacF
WSM1022_03494	CDS	1260	msmE_1		COG1653	Multiple sugar-binding protein
WSM1022_03495	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
WSM1022_03496	CDS	885	gspK	2.7.1.8	COG2971	Glucosamine kinase GspK
WSM1022_03497	CDS	765	nagR_2		COG2188	HTH-type transcriptional repressor NagR
WSM1022_03498	CDS	1023	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
WSM1022_03499	CDS	1161	agaAII	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
WSM1022_03500	CDS	1197				IS256 family transposase ISRm5
WSM1022_03501	CDS	738	cutC		COG3142	Copper homeostasis protein CutC
WSM1022_03502	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
WSM1022_03503	CDS	1362	cnbH_2	3.5.99.5		2-amino-5-chloromuconic acid deaminase
WSM1022_03504	CDS	735				hypothetical protein
WSM1022_03505	CDS	210	slyX			Protein SlyX
WSM1022_03506	CDS	993	tmpC		COG1744	Membrane lipoprotein TmpC
WSM1022_03507	CDS	654	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
WSM1022_03508	CDS	318				hypothetical protein
WSM1022_03509	tRNA	90				tRNA-Ser(gga)
WSM1022_03510	CDS	1095	xerC_5			Tyrosine recombinase XerC
WSM1022_03511	CDS	195				hypothetical protein
WSM1022_03512	CDS	1227				hypothetical protein
WSM1022_03513	CDS	537				hypothetical protein
WSM1022_03514	CDS	282				hypothetical protein
WSM1022_03515	CDS	1236				hypothetical protein
WSM1022_03516	CDS	615				hypothetical protein
WSM1022_03517	CDS	531				hypothetical protein
WSM1022_03518	CDS	339				hypothetical protein
WSM1022_03519	CDS	1266	ampG_1		COG0477	Anhydromuropeptide permease
WSM1022_03520	CDS	2001	fyuA		COG1629	Pesticin receptor
WSM1022_03521	CDS	1161			COG0654	putative protein
WSM1022_03522	CDS	1473	ribZ			Riboflavin transporter RibZ
WSM1022_03523	CDS	927	pcpR_1			PCP degradation transcriptional activation protein
WSM1022_03524	CDS	270				hypothetical protein
WSM1022_03525	CDS	945				hypothetical protein
WSM1022_03526	CDS	1098	ilvE_2	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
WSM1022_03527	CDS	780				hypothetical protein
WSM1022_03528	CDS	753	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
WSM1022_03529	CDS	855	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
WSM1022_03530	CDS	138				hypothetical protein
WSM1022_03531	CDS	369	ehpR			Phenazine antibiotic resistance protein EhpR
WSM1022_03532	CDS	693				hypothetical protein
WSM1022_03533	CDS	981	nudC	3.6.1.22		NADH pyrophosphatase
WSM1022_03534	CDS	405				hypothetical protein
WSM1022_03535	CDS	1872				hypothetical protein
WSM1022_03536	CDS	324			COG0718	Nucleoid-associated protein
WSM1022_03537	CDS	612	rhtB_6		COG1280	Homoserine/homoserine lactone efflux protein
WSM1022_03538	CDS	606	recR		COG0353	Recombination protein RecR
WSM1022_03539	CDS	1239				Tn3 family transposase TnXax1
WSM1022_03540	CDS	1245				hypothetical protein
WSM1022_03541	CDS	1179	nagC_3		COG1940	N-acetylglucosamine repressor
WSM1022_03542	CDS	1269	msmE_2		COG1653	Multiple sugar-binding protein
WSM1022_03543	CDS	885	melD_5		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
WSM1022_03544	CDS	852	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
WSM1022_03545	CDS	1227	malK_6	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
WSM1022_03546	CDS	2034	iolG_8	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
WSM1022_03547	CDS	777	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
WSM1022_03548	CDS	648				hypothetical protein
WSM1022_03549	CDS	2070	uvrD	3.6.4.12	COG0210	DNA helicase II
WSM1022_03550	CDS	441				hypothetical protein
WSM1022_03551	CDS	693	kdpE		COG0745	Transcriptional regulatory protein KdpE
WSM1022_03552	CDS	2691	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
WSM1022_03553	CDS	570	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
WSM1022_03554	CDS	2043	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
WSM1022_03555	CDS	1710	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
WSM1022_03556	CDS	1260	ampG_2		COG0477	Anhydromuropeptide permease
WSM1022_03557	CDS	1356	dat_2	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
WSM1022_03558	CDS	1488	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
WSM1022_03559	CDS	1758	iucA	6.3.2.38	COG4264	N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
WSM1022_03560	CDS	591	iucB	2.3.1.102		N(6)-hydroxylysine O-acetyltransferase
WSM1022_03561	CDS	1365	iucD	1.14.13.59	COG3486	L-lysine N6-monooxygenase
WSM1022_03562	CDS	1806	iucC	6.3.2.39	COG4264	Aerobactin synthase
WSM1022_03563	CDS	945	rhaR_1			HTH-type transcriptional activator RhaR
WSM1022_03564	CDS	2241	iutA			Ferric aerobactin receptor
WSM1022_03565	CDS	1113				hypothetical protein
WSM1022_03566	CDS	888	pgrR_5			HTH-type transcriptional regulator PgrR
WSM1022_03567	CDS	723		1.-.-.-		putative oxidoreductase
WSM1022_03568	CDS	528				hypothetical protein
WSM1022_03569	CDS	423				hypothetical protein
WSM1022_03570	CDS	681	cmoA	2.1.3.-		Carboxy-S-adenosyl-L-methionine synthase
WSM1022_03571	CDS	636	paoA_1	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
WSM1022_03572	CDS	951	paoB_1	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
WSM1022_03573	CDS	2202	paoC_1	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
WSM1022_03574	CDS	1110	dinB_2	2.7.7.7	COG0389	DNA polymerase IV
WSM1022_03575	CDS	123				hypothetical protein
WSM1022_03576	CDS	180				hypothetical protein
WSM1022_03577	CDS	693				hypothetical protein
WSM1022_03578	CDS	777				hypothetical protein
WSM1022_03579	CDS	987				Purine-binding protein
WSM1022_03580	CDS	1377	nylA	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
WSM1022_03581	CDS	1527	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
WSM1022_03582	CDS	1050				hypothetical protein
WSM1022_03583	CDS	945				hypothetical protein
WSM1022_03584	CDS	1299	codA_1	3.5.4.1	COG0402	Cytosine deaminase
WSM1022_03585	CDS	684				hypothetical protein
WSM1022_03586	CDS	1203	mdtL			Multidrug resistance protein MdtL
WSM1022_03587	CDS	2184	katG	1.11.1.21		Catalase-peroxidase
WSM1022_03588	CDS	567	comR_1			HTH-type transcriptional repressor ComR
WSM1022_03589	CDS	969		1.3.1.103		2-haloacrylate reductase
WSM1022_03590	CDS	1605	yheS_2		COG0488	putative ABC transporter ATP-binding protein YheS
WSM1022_03591	CDS	657				hypothetical protein
WSM1022_03592	CDS	126				hypothetical protein
WSM1022_03593	CDS	417	ohrB_2		COG1764	Organic hydroperoxide resistance protein OhrB
WSM1022_03594	CDS	1206				hypothetical protein
WSM1022_03595	CDS	1002				hypothetical protein
WSM1022_03596	CDS	1176				hypothetical protein
